2025-12-05 20:15:37,040 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: exp
2025-12-05 20:15:37,041 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------------+
| Parameter  | Value              |
+------------+--------------------+
| cuda       | 5                  |
+------------+--------------------+
| datadir    | data/Lipophilicity |
+------------+--------------------+
| epoch      | 1000               |
+------------+--------------------+
| seed       | [42]               |
+------------+--------------------+
| channels   | 64                 |
+------------+--------------------+
| heads      | 1                  |
+------------+--------------------+
| pretrain   | 0                  |
+------------+--------------------+
| batch_size | 32                 |
+------------+--------------------+
| net_lr     | 0.001              |
+------------+--------------------+
2025-12-05 20:15:37,042 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for exp with seed 42 ---
2025-12-05 20:15:44,941 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [7/1000] Train_MSE: 1.311294 Val_MSE: 1.460378 | Loss: 1.247988
2025-12-05 20:15:45,847 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [8/1000] Train_MSE: 1.284524 Val_MSE: 1.429040 | Loss: 1.282869
2025-12-05 20:15:45,850 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 8 with val_mse 1.429040
2025-12-05 20:15:46,759 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [9/1000] Train_MSE: 1.223225 Val_MSE: 1.369312 | Loss: 1.245535
2025-12-05 20:15:46,762 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 9 with val_mse 1.369312
2025-12-05 20:15:47,688 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [10/1000] Train_MSE: 1.330329 Val_MSE: 1.446204 | Loss: 1.220709
2025-12-05 20:15:48,599 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [11/1000] Train_MSE: 1.285366 Val_MSE: 1.392605 | Loss: 1.263891
2025-12-05 20:15:49,505 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [12/1000] Train_MSE: 1.322370 Val_MSE: 1.426860 | Loss: 1.237331
2025-12-05 20:15:50,446 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [13/1000] Train_MSE: 1.362636 Val_MSE: 1.471952 | Loss: 1.217950
2025-12-05 20:15:51,393 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [14/1000] Train_MSE: 1.265231 Val_MSE: 1.437223 | Loss: 1.202004
2025-12-05 20:15:52,324 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [15/1000] Train_MSE: 1.468354 Val_MSE: 1.590358 | Loss: 1.175772
2025-12-05 20:15:53,248 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [16/1000] Train_MSE: 1.353193 Val_MSE: 1.465392 | Loss: 1.203956
2025-12-05 20:15:54,181 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [17/1000] Train_MSE: 1.647405 Val_MSE: 1.713829 | Loss: 1.178130
2025-12-05 20:15:55,100 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [18/1000] Train_MSE: 1.438271 Val_MSE: 1.519103 | Loss: 1.202416
2025-12-05 20:15:56,013 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [19/1000] Train_MSE: 2.072579 Val_MSE: 2.132846 | Loss: 1.183260
2025-12-05 20:15:56,934 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [20/1000] Train_MSE: 4.228503 Val_MSE: 4.218110 | Loss: 1.150163
2025-12-05 20:15:57,863 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [21/1000] Train_MSE: 1.667678 Val_MSE: 1.773081 | Loss: 1.163270
2025-12-05 20:15:58,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [22/1000] Train_MSE: 1.213844 Val_MSE: 1.309486 | Loss: 1.159195
2025-12-05 20:15:58,784 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 22 with val_mse 1.309486
2025-12-05 20:15:59,684 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [23/1000] Train_MSE: 1.642446 Val_MSE: 1.714301 | Loss: 1.144424
2025-12-05 20:16:00,584 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [24/1000] Train_MSE: 2.140794 Val_MSE: 2.177216 | Loss: 1.134888
2025-12-05 20:16:01,493 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [25/1000] Train_MSE: 1.162011 Val_MSE: 1.310484 | Loss: 1.138995
2025-12-05 20:16:02,375 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [26/1000] Train_MSE: 1.262831 Val_MSE: 1.427803 | Loss: 1.127398
2025-12-05 20:16:03,286 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [27/1000] Train_MSE: 4.964167 Val_MSE: 4.906980 | Loss: 1.128461
2025-12-05 20:16:04,180 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [28/1000] Train_MSE: 2.190147 Val_MSE: 2.276441 | Loss: 1.122703
2025-12-05 20:16:05,082 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [29/1000] Train_MSE: 1.938325 Val_MSE: 2.065363 | Loss: 1.101590
2025-12-05 20:16:05,963 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [30/1000] Train_MSE: 2.915850 Val_MSE: 2.909917 | Loss: 1.102046
2025-12-05 20:16:06,869 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [31/1000] Train_MSE: 2.165038 Val_MSE: 2.259876 | Loss: 1.105022
2025-12-05 20:16:07,768 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [32/1000] Train_MSE: 1.635105 Val_MSE: 1.795413 | Loss: 1.081350
2025-12-05 20:16:08,688 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [33/1000] Train_MSE: 1.367358 Val_MSE: 1.456723 | Loss: 1.093036
2025-12-05 20:16:09,590 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [34/1000] Train_MSE: 4.052383 Val_MSE: 4.022973 | Loss: 1.104151
2025-12-05 20:16:10,504 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [35/1000] Train_MSE: 1.251955 Val_MSE: 1.461299 | Loss: 1.104571
2025-12-05 20:16:11,399 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [36/1000] Train_MSE: 1.221047 Val_MSE: 1.415611 | Loss: 1.073784
2025-12-05 20:16:12,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [37/1000] Train_MSE: 1.145454 Val_MSE: 1.277562 | Loss: 1.080988
2025-12-05 20:16:12,311 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 37 with val_mse 1.277562
2025-12-05 20:16:13,225 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [38/1000] Train_MSE: 1.397112 Val_MSE: 1.519077 | Loss: 1.077808
2025-12-05 20:16:14,143 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [39/1000] Train_MSE: 1.490880 Val_MSE: 1.607596 | Loss: 1.065439
2025-12-05 20:16:15,047 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [40/1000] Train_MSE: 2.104044 Val_MSE: 2.226350 | Loss: 1.080798
2025-12-05 20:16:15,954 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [41/1000] Train_MSE: 1.685122 Val_MSE: 1.901522 | Loss: 1.041796
2025-12-05 20:16:16,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [42/1000] Train_MSE: 1.417161 Val_MSE: 1.505287 | Loss: 1.046062
2025-12-05 20:16:17,762 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [43/1000] Train_MSE: 2.354647 Val_MSE: 2.447765 | Loss: 1.021265
2025-12-05 20:16:18,693 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [44/1000] Train_MSE: 1.459872 Val_MSE: 1.614884 | Loss: 1.055139
2025-12-05 20:16:19,616 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [45/1000] Train_MSE: 2.601274 Val_MSE: 2.691509 | Loss: 1.044088
2025-12-05 20:16:20,538 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [46/1000] Train_MSE: 2.960739 Val_MSE: 2.977188 | Loss: 1.041015
2025-12-05 20:16:21,462 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [47/1000] Train_MSE: 1.250144 Val_MSE: 1.366750 | Loss: 1.045398
2025-12-05 20:16:22,364 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [48/1000] Train_MSE: 1.916723 Val_MSE: 1.952402 | Loss: 1.050592
2025-12-05 20:16:23,275 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [49/1000] Train_MSE: 1.192665 Val_MSE: 1.319527 | Loss: 1.009829
2025-12-05 20:16:24,180 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [50/1000] Train_MSE: 1.949098 Val_MSE: 2.111212 | Loss: 1.048756
2025-12-05 20:16:25,070 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [51/1000] Train_MSE: 2.677567 Val_MSE: 2.730287 | Loss: 1.066152
2025-12-05 20:16:25,960 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [52/1000] Train_MSE: 1.159200 Val_MSE: 1.223853 | Loss: 1.029443
2025-12-05 20:16:25,963 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 52 with val_mse 1.223853
2025-12-05 20:16:26,866 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [53/1000] Train_MSE: 1.977302 Val_MSE: 2.013408 | Loss: 1.029935
2025-12-05 20:16:27,759 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [54/1000] Train_MSE: 2.412362 Val_MSE: 2.504287 | Loss: 1.057124
2025-12-05 20:16:28,671 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [55/1000] Train_MSE: 2.303614 Val_MSE: 2.392574 | Loss: 1.034336
2025-12-05 20:16:29,588 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [56/1000] Train_MSE: 1.463737 Val_MSE: 1.573229 | Loss: 1.033348
2025-12-05 20:16:30,528 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [57/1000] Train_MSE: 2.794746 Val_MSE: 2.890271 | Loss: 1.009450
2025-12-05 20:16:31,433 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [58/1000] Train_MSE: 2.824103 Val_MSE: 2.872957 | Loss: 1.039045
2025-12-05 20:16:32,339 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [59/1000] Train_MSE: 1.492963 Val_MSE: 1.522539 | Loss: 1.040575
2025-12-05 20:16:33,247 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [60/1000] Train_MSE: 2.892322 Val_MSE: 2.965129 | Loss: 1.000560
2025-12-05 20:16:34,141 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [61/1000] Train_MSE: 1.437830 Val_MSE: 1.512438 | Loss: 1.021159
2025-12-05 20:16:35,037 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [62/1000] Train_MSE: 1.484241 Val_MSE: 1.642544 | Loss: 1.008683
2025-12-05 20:16:35,927 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [63/1000] Train_MSE: 1.174367 Val_MSE: 1.352512 | Loss: 1.015700
2025-12-05 20:16:36,819 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [64/1000] Train_MSE: 2.762414 Val_MSE: 2.799477 | Loss: 1.031835
2025-12-05 20:16:37,716 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [65/1000] Train_MSE: 3.819987 Val_MSE: 3.808123 | Loss: 0.982455
2025-12-05 20:16:38,614 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [66/1000] Train_MSE: 3.599504 Val_MSE: 3.590020 | Loss: 0.990739
2025-12-05 20:16:39,522 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [67/1000] Train_MSE: 2.362362 Val_MSE: 2.409640 | Loss: 0.996033
2025-12-05 20:16:40,481 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [68/1000] Train_MSE: 1.372861 Val_MSE: 1.449323 | Loss: 1.008575
2025-12-05 20:16:41,374 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [69/1000] Train_MSE: 2.557913 Val_MSE: 2.636020 | Loss: 1.011804
2025-12-05 20:16:42,270 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [70/1000] Train_MSE: 1.800523 Val_MSE: 1.918169 | Loss: 0.986591
2025-12-05 20:16:43,170 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [71/1000] Train_MSE: 1.972406 Val_MSE: 2.059726 | Loss: 1.030287
2025-12-05 20:16:44,088 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [72/1000] Train_MSE: 2.557437 Val_MSE: 2.550091 | Loss: 0.988996
2025-12-05 20:16:44,946 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [73/1000] Train_MSE: 2.277956 Val_MSE: 2.342048 | Loss: 0.996583
2025-12-05 20:16:45,863 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [74/1000] Train_MSE: 1.991126 Val_MSE: 2.032385 | Loss: 1.044682
2025-12-05 20:16:46,764 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [75/1000] Train_MSE: 1.232433 Val_MSE: 1.341383 | Loss: 1.024606
2025-12-05 20:16:47,673 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [76/1000] Train_MSE: 1.457504 Val_MSE: 1.550696 | Loss: 0.993684
2025-12-05 20:16:48,576 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [77/1000] Train_MSE: 1.741271 Val_MSE: 1.783350 | Loss: 0.999928
2025-12-05 20:16:49,474 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [78/1000] Train_MSE: 1.292682 Val_MSE: 1.355289 | Loss: 1.026665
2025-12-05 20:16:50,352 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [79/1000] Train_MSE: 2.273839 Val_MSE: 2.275485 | Loss: 0.990247
2025-12-05 20:16:51,240 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [80/1000] Train_MSE: 3.383500 Val_MSE: 3.390823 | Loss: 0.983660
2025-12-05 20:16:52,148 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [81/1000] Train_MSE: 3.428632 Val_MSE: 3.390087 | Loss: 1.008769
2025-12-05 20:16:53,082 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [82/1000] Train_MSE: 1.540141 Val_MSE: 1.571759 | Loss: 0.986114
2025-12-05 20:16:54,006 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [83/1000] Train_MSE: 3.847301 Val_MSE: 3.855509 | Loss: 0.990890
2025-12-05 20:16:54,901 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [84/1000] Train_MSE: 2.686058 Val_MSE: 2.666912 | Loss: 0.972388
2025-12-05 20:16:55,813 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [85/1000] Train_MSE: 4.826348 Val_MSE: 4.760321 | Loss: 0.958323
2025-12-05 20:16:56,742 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [86/1000] Train_MSE: 2.711218 Val_MSE: 2.691747 | Loss: 0.988364
2025-12-05 20:16:57,663 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [87/1000] Train_MSE: 2.811386 Val_MSE: 2.876791 | Loss: 0.999428
2025-12-05 20:16:58,559 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [88/1000] Train_MSE: 3.961686 Val_MSE: 3.900006 | Loss: 0.952244
2025-12-05 20:16:59,462 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [89/1000] Train_MSE: 2.142389 Val_MSE: 2.138123 | Loss: 0.935155
2025-12-05 20:17:00,396 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [90/1000] Train_MSE: 2.579819 Val_MSE: 2.606481 | Loss: 0.962874
2025-12-05 20:17:01,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [91/1000] Train_MSE: 3.523994 Val_MSE: 3.493903 | Loss: 0.979866
2025-12-05 20:17:02,196 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [92/1000] Train_MSE: 1.861429 Val_MSE: 1.857051 | Loss: 0.976068
2025-12-05 20:17:03,103 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [93/1000] Train_MSE: 1.968403 Val_MSE: 2.004047 | Loss: 0.947053
2025-12-05 20:17:04,032 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [94/1000] Train_MSE: 3.701987 Val_MSE: 3.655708 | Loss: 0.969639
2025-12-05 20:17:04,943 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [95/1000] Train_MSE: 3.440004 Val_MSE: 3.368243 | Loss: 0.920954
2025-12-05 20:17:05,844 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [96/1000] Train_MSE: 3.063424 Val_MSE: 3.043007 | Loss: 0.973961
2025-12-05 20:17:06,774 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [97/1000] Train_MSE: 2.204613 Val_MSE: 2.214255 | Loss: 0.967001
2025-12-05 20:17:07,669 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [98/1000] Train_MSE: 3.925649 Val_MSE: 3.849890 | Loss: 0.954206
2025-12-05 20:17:08,561 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [99/1000] Train_MSE: 4.734703 Val_MSE: 4.630068 | Loss: 0.937798
2025-12-05 20:17:09,463 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [100/1000] Train_MSE: 3.037635 Val_MSE: 2.999895 | Loss: 0.979017
2025-12-05 20:17:10,383 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [101/1000] Train_MSE: 1.562481 Val_MSE: 1.672097 | Loss: 0.946641
2025-12-05 20:17:11,269 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [102/1000] Train_MSE: 4.755358 Val_MSE: 4.633797 | Loss: 0.964727
2025-12-05 20:17:12,168 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [103/1000] Train_MSE: 2.562921 Val_MSE: 2.570135 | Loss: 0.937526
2025-12-05 20:17:13,074 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [104/1000] Train_MSE: 1.849157 Val_MSE: 1.888977 | Loss: 0.951631
2025-12-05 20:17:13,977 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [105/1000] Train_MSE: 1.955624 Val_MSE: 2.024044 | Loss: 0.970757
2025-12-05 20:17:14,877 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [106/1000] Train_MSE: 2.208129 Val_MSE: 2.253887 | Loss: 0.933037
2025-12-05 20:17:15,778 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [107/1000] Train_MSE: 1.766115 Val_MSE: 1.862723 | Loss: 0.961142
