2025-12-05 16:56:31,757 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Tg
2025-12-05 16:56:31,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data         |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:56:31,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Tg with seed 42 ---
2025-12-05 16:56:32,493 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [9/1000] Train_MSE: 37062.610566 Val_MSE: 38807.525101 | Loss: 6799.521338
2025-12-05 16:56:32,564 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [10/1000] Train_MSE: 19847.585470 Val_MSE: 21652.679804 | Loss: 6788.133301
2025-12-05 16:56:32,632 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [11/1000] Train_MSE: 9142.717447 Val_MSE: 10764.750667 | Loss: 6634.386914
2025-12-05 16:56:32,634 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 11 with val_mse 10764.750667
2025-12-05 16:56:32,701 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [12/1000] Train_MSE: 6446.180115 Val_MSE: 7842.923823 | Loss: 6137.628271
2025-12-05 16:56:32,704 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 12 with val_mse 7842.923823
2025-12-05 16:56:32,783 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [13/1000] Train_MSE: 6276.882364 Val_MSE: 7688.522171 | Loss: 6221.092090
2025-12-05 16:56:32,785 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 13 with val_mse 7688.522171
2025-12-05 16:56:32,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [14/1000] Train_MSE: 6041.701218 Val_MSE: 7273.558473 | Loss: 6216.604077
2025-12-05 16:56:32,863 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 14 with val_mse 7273.558473
2025-12-05 16:56:32,939 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [15/1000] Train_MSE: 6429.983892 Val_MSE: 7974.264856 | Loss: 6246.139160
2025-12-05 16:56:33,012 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [16/1000] Train_MSE: 10303.614965 Val_MSE: 11823.826655 | Loss: 6094.239258
2025-12-05 16:56:33,089 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [17/1000] Train_MSE: 5925.997821 Val_MSE: 7134.846781 | Loss: 6170.748779
2025-12-05 16:56:33,091 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 17 with val_mse 7134.846781
2025-12-05 16:56:33,171 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [18/1000] Train_MSE: 5985.427690 Val_MSE: 7186.469649 | Loss: 6186.590430
2025-12-05 16:56:33,257 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [19/1000] Train_MSE: 5884.762958 Val_MSE: 7139.505763 | Loss: 6098.141260
2025-12-05 16:56:33,340 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [20/1000] Train_MSE: 5879.775142 Val_MSE: 7194.398800 | Loss: 5776.008887
2025-12-05 16:56:33,421 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [21/1000] Train_MSE: 5854.636415 Val_MSE: 7132.656337 | Loss: 5849.963892
2025-12-05 16:56:33,424 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 21 with val_mse 7132.656337
2025-12-05 16:56:33,504 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [22/1000] Train_MSE: 5822.382941 Val_MSE: 7032.049853 | Loss: 5814.239478
2025-12-05 16:56:33,507 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 22 with val_mse 7032.049853
2025-12-05 16:56:33,588 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [23/1000] Train_MSE: 5797.524769 Val_MSE: 7018.964994 | Loss: 6140.344971
2025-12-05 16:56:33,591 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 23 with val_mse 7018.964994
2025-12-05 16:56:33,678 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [24/1000] Train_MSE: 5715.061190 Val_MSE: 7027.602428 | Loss: 6136.118823
2025-12-05 16:56:33,773 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [25/1000] Train_MSE: 5819.769403 Val_MSE: 7118.455692 | Loss: 6417.048437
2025-12-05 16:56:33,850 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [26/1000] Train_MSE: 6126.142055 Val_MSE: 7525.099208 | Loss: 5921.323145
2025-12-05 16:56:33,921 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [27/1000] Train_MSE: 5809.694269 Val_MSE: 7031.825311 | Loss: 5950.643823
2025-12-05 16:56:33,998 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [28/1000] Train_MSE: 6170.940824 Val_MSE: 7606.973555 | Loss: 6198.935962
2025-12-05 16:56:34,081 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [29/1000] Train_MSE: 7330.477986 Val_MSE: 8697.943239 | Loss: 5941.003467
2025-12-05 16:56:34,170 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [30/1000] Train_MSE: 5717.205336 Val_MSE: 6852.807250 | Loss: 5714.490015
2025-12-05 16:56:34,173 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 30 with val_mse 6852.807250
2025-12-05 16:56:34,271 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [31/1000] Train_MSE: 5868.360161 Val_MSE: 6998.224247 | Loss: 5612.573218
2025-12-05 16:56:34,342 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [32/1000] Train_MSE: 5653.942884 Val_MSE: 6919.120992 | Loss: 5657.883276
2025-12-05 16:56:34,413 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [33/1000] Train_MSE: 6621.287575 Val_MSE: 8013.879583 | Loss: 5724.434131
2025-12-05 16:56:34,482 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [34/1000] Train_MSE: 5682.793968 Val_MSE: 7041.168795 | Loss: 5990.617773
2025-12-05 16:56:34,558 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [35/1000] Train_MSE: 5675.015735 Val_MSE: 6872.141795 | Loss: 5708.835840
2025-12-05 16:56:34,645 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [36/1000] Train_MSE: 5619.091342 Val_MSE: 6791.180872 | Loss: 5728.395020
2025-12-05 16:56:34,647 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 36 with val_mse 6791.180872
2025-12-05 16:56:34,726 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [37/1000] Train_MSE: 5704.186016 Val_MSE: 7041.023723 | Loss: 5779.153613
2025-12-05 16:56:34,806 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [38/1000] Train_MSE: 5543.260564 Val_MSE: 6816.116694 | Loss: 5447.607776
2025-12-05 16:56:34,878 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [39/1000] Train_MSE: 5521.021659 Val_MSE: 6797.837219 | Loss: 5866.111621
2025-12-05 16:56:34,957 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [40/1000] Train_MSE: 5499.261141 Val_MSE: 6842.140233 | Loss: 5914.181885
2025-12-05 16:56:35,039 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [41/1000] Train_MSE: 5487.404257 Val_MSE: 6716.189472 | Loss: 5381.124683
2025-12-05 16:56:35,041 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 41 with val_mse 6716.189472
2025-12-05 16:56:35,115 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [42/1000] Train_MSE: 5464.596865 Val_MSE: 6764.000073 | Loss: 5451.424658
2025-12-05 16:56:35,187 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [43/1000] Train_MSE: 5406.755562 Val_MSE: 6731.004965 | Loss: 5589.491333
2025-12-05 16:56:35,256 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [44/1000] Train_MSE: 5399.983719 Val_MSE: 6745.122713 | Loss: 5543.273877
2025-12-05 16:56:35,328 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [45/1000] Train_MSE: 6354.718630 Val_MSE: 7681.129646 | Loss: 5637.676587
2025-12-05 16:56:35,409 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [46/1000] Train_MSE: 5354.405144 Val_MSE: 6600.800346 | Loss: 5698.060352
2025-12-05 16:56:35,411 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 46 with val_mse 6600.800346
2025-12-05 16:56:35,489 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [47/1000] Train_MSE: 5334.905049 Val_MSE: 6657.388686 | Loss: 5502.149927
2025-12-05 16:56:35,561 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [48/1000] Train_MSE: 5493.154411 Val_MSE: 6712.220674 | Loss: 5358.138354
2025-12-05 16:56:35,629 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [49/1000] Train_MSE: 5343.039042 Val_MSE: 6650.784866 | Loss: 5359.075903
2025-12-05 16:56:35,703 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [50/1000] Train_MSE: 5512.381870 Val_MSE: 6865.375817 | Loss: 5565.440356
2025-12-05 16:56:35,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [51/1000] Train_MSE: 5296.062958 Val_MSE: 6630.562515 | Loss: 5590.442578
2025-12-05 16:56:35,863 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [52/1000] Train_MSE: 5435.625287 Val_MSE: 6794.640171 | Loss: 5641.935449
2025-12-05 16:56:35,939 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [53/1000] Train_MSE: 5328.939104 Val_MSE: 6553.953671 | Loss: 5594.159668
2025-12-05 16:56:35,942 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 53 with val_mse 6553.953671
2025-12-05 16:56:36,015 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [54/1000] Train_MSE: 8808.152627 Val_MSE: 10015.734655 | Loss: 5338.873535
2025-12-05 16:56:36,105 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [55/1000] Train_MSE: 5502.624866 Val_MSE: 6730.854231 | Loss: 5424.032837
2025-12-05 16:56:36,216 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [56/1000] Train_MSE: 5243.666895 Val_MSE: 6588.642438 | Loss: 5274.522729
2025-12-05 16:56:36,303 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [57/1000] Train_MSE: 5691.027224 Val_MSE: 7013.379003 | Loss: 5591.706323
2025-12-05 16:56:36,386 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [58/1000] Train_MSE: 5181.206970 Val_MSE: 6479.505178 | Loss: 5407.951025
2025-12-05 16:56:36,389 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 58 with val_mse 6479.505178
2025-12-05 16:56:36,463 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [59/1000] Train_MSE: 5171.438806 Val_MSE: 6497.307143 | Loss: 5222.479175
2025-12-05 16:56:36,537 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [60/1000] Train_MSE: 5151.643132 Val_MSE: 6482.275942 | Loss: 5235.417261
2025-12-05 16:56:36,609 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [61/1000] Train_MSE: 5282.476700 Val_MSE: 6562.374154 | Loss: 5492.048730
2025-12-05 16:56:36,682 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [62/1000] Train_MSE: 5118.283270 Val_MSE: 6466.087760 | Loss: 5408.353394
2025-12-05 16:56:36,685 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 62 with val_mse 6466.087760
2025-12-05 16:56:36,756 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [63/1000] Train_MSE: 5509.268106 Val_MSE: 6819.053682 | Loss: 5242.461768
2025-12-05 16:56:36,821 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [64/1000] Train_MSE: 5534.645662 Val_MSE: 6800.666277 | Loss: 5127.275781
2025-12-05 16:56:36,893 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [65/1000] Train_MSE: 5171.584714 Val_MSE: 6475.868744 | Loss: 5308.880762
2025-12-05 16:56:36,965 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [66/1000] Train_MSE: 5073.027323 Val_MSE: 6326.589578 | Loss: 5182.271069
2025-12-05 16:56:36,968 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 66 with val_mse 6326.589578
2025-12-05 16:56:37,039 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [67/1000] Train_MSE: 5395.826140 Val_MSE: 6657.937660 | Loss: 5722.168530
2025-12-05 16:56:37,113 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [68/1000] Train_MSE: 5022.055907 Val_MSE: 6367.336851 | Loss: 5097.196729
2025-12-05 16:56:37,186 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [69/1000] Train_MSE: 5063.207807 Val_MSE: 6405.429808 | Loss: 5054.811255
2025-12-05 16:56:37,257 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [70/1000] Train_MSE: 5007.022463 Val_MSE: 6309.068533 | Loss: 5454.647217
2025-12-05 16:56:37,259 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 70 with val_mse 6309.068533
2025-12-05 16:56:37,325 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [71/1000] Train_MSE: 5520.149957 Val_MSE: 6829.109583 | Loss: 5481.325000
2025-12-05 16:56:37,396 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [72/1000] Train_MSE: 5167.469285 Val_MSE: 6424.264530 | Loss: 5345.547778
2025-12-05 16:56:37,468 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [73/1000] Train_MSE: 5143.183206 Val_MSE: 6452.017684 | Loss: 5322.019287
2025-12-05 16:56:37,541 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [74/1000] Train_MSE: 4946.253158 Val_MSE: 6221.251291 | Loss: 5588.419214
2025-12-05 16:56:37,543 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 74 with val_mse 6221.251291
2025-12-05 16:56:37,615 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [75/1000] Train_MSE: 4977.233498 Val_MSE: 6237.318514 | Loss: 5546.049902
2025-12-05 16:56:37,686 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [76/1000] Train_MSE: 5064.973980 Val_MSE: 6358.617976 | Loss: 5408.225073
2025-12-05 16:56:37,756 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [77/1000] Train_MSE: 4945.000482 Val_MSE: 6294.334908 | Loss: 5193.942261
2025-12-05 16:56:37,822 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [78/1000] Train_MSE: 4914.754351 Val_MSE: 6245.263242 | Loss: 5280.783350
2025-12-05 16:56:37,890 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [79/1000] Train_MSE: 4906.012915 Val_MSE: 6250.616946 | Loss: 5213.019604
2025-12-05 16:56:37,974 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [80/1000] Train_MSE: 4901.354332 Val_MSE: 6210.774448 | Loss: 5589.979077
2025-12-05 16:56:37,977 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 80 with val_mse 6210.774448
2025-12-05 16:56:38,047 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [81/1000] Train_MSE: 5025.498956 Val_MSE: 6387.616003 | Loss: 5355.667041
2025-12-05 16:56:38,121 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [82/1000] Train_MSE: 4907.346491 Val_MSE: 6196.131357 | Loss: 5332.530322
2025-12-05 16:56:38,124 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 82 with val_mse 6196.131357
2025-12-05 16:56:38,194 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [83/1000] Train_MSE: 5227.222383 Val_MSE: 6553.074456 | Loss: 4874.501074
2025-12-05 16:56:38,262 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [84/1000] Train_MSE: 5091.624075 Val_MSE: 6406.565338 | Loss: 5249.522217
2025-12-05 16:56:38,338 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [85/1000] Train_MSE: 4826.350913 Val_MSE: 6194.982949 | Loss: 5103.710767
2025-12-05 16:56:38,341 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 85 with val_mse 6194.982949
2025-12-05 16:56:38,420 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [86/1000] Train_MSE: 4839.279497 Val_MSE: 6198.007310 | Loss: 4945.672998
2025-12-05 16:56:38,497 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [87/1000] Train_MSE: 4803.075387 Val_MSE: 6194.039793 | Loss: 4945.216626
2025-12-05 16:56:38,500 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 87 with val_mse 6194.039793
2025-12-05 16:56:38,571 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [88/1000] Train_MSE: 5047.950823 Val_MSE: 6427.735535 | Loss: 5203.914526
2025-12-05 16:56:38,643 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [89/1000] Train_MSE: 5127.254415 Val_MSE: 6507.883627 | Loss: 5492.394922
2025-12-05 16:56:38,719 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [90/1000] Train_MSE: 4779.178173 Val_MSE: 6240.873356 | Loss: 5122.110156
