2025-12-05 16:55:51,557 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: Rg
2025-12-05 16:55:51,558 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 5            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| heads      | 1            |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:55:51,559 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for Rg with seed 42 ---
2025-12-05 16:56:02,110 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [65/1000] Train_MSE: 12.141391 Val_MSE: 13.724397 | Loss: 13.430199
2025-12-05 16:56:02,294 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [66/1000] Train_MSE: 11.954373 Val_MSE: 13.823532 | Loss: 13.021432
2025-12-05 16:56:02,433 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [67/1000] Train_MSE: 11.261222 Val_MSE: 13.512310 | Loss: 12.194216
2025-12-05 16:56:02,576 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [68/1000] Train_MSE: 10.588768 Val_MSE: 12.740152 | Loss: 11.655220
2025-12-05 16:56:02,578 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 68 with val_mse 12.740152
2025-12-05 16:56:02,715 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [69/1000] Train_MSE: 12.971805 Val_MSE: 14.992142 | Loss: 12.178430
2025-12-05 16:56:02,862 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [70/1000] Train_MSE: 11.464374 Val_MSE: 13.771773 | Loss: 10.919456
2025-12-05 16:56:03,007 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [71/1000] Train_MSE: 12.838904 Val_MSE: 15.185752 | Loss: 11.722045
2025-12-05 16:56:03,154 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [72/1000] Train_MSE: 12.989034 Val_MSE: 14.537273 | Loss: 13.874349
2025-12-05 16:56:03,300 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [73/1000] Train_MSE: 12.895724 Val_MSE: 14.658769 | Loss: 12.680742
2025-12-05 16:56:03,445 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [74/1000] Train_MSE: 11.629609 Val_MSE: 13.806840 | Loss: 12.720817
2025-12-05 16:56:03,574 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [75/1000] Train_MSE: 15.244700 Val_MSE: 17.035685 | Loss: 13.424618
2025-12-05 16:56:03,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [76/1000] Train_MSE: 13.943117 Val_MSE: 15.824537 | Loss: 12.657836
2025-12-05 16:56:03,823 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [77/1000] Train_MSE: 10.666721 Val_MSE: 12.515386 | Loss: 12.639852
2025-12-05 16:56:03,826 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 77 with val_mse 12.515386
2025-12-05 16:56:03,958 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [78/1000] Train_MSE: 11.476021 Val_MSE: 13.402432 | Loss: 12.348159
2025-12-05 16:56:04,095 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [79/1000] Train_MSE: 10.272319 Val_MSE: 12.577341 | Loss: 13.169463
2025-12-05 16:56:04,226 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [80/1000] Train_MSE: 12.829305 Val_MSE: 13.988653 | Loss: 12.850722
2025-12-05 16:56:04,359 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [81/1000] Train_MSE: 10.206140 Val_MSE: 12.185451 | Loss: 12.223267
2025-12-05 16:56:04,362 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 81 with val_mse 12.185451
2025-12-05 16:56:04,495 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [82/1000] Train_MSE: 11.621341 Val_MSE: 13.740596 | Loss: 10.768501
2025-12-05 16:56:04,627 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [83/1000] Train_MSE: 11.115938 Val_MSE: 13.600907 | Loss: 12.500215
2025-12-05 16:56:04,763 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [84/1000] Train_MSE: 11.266339 Val_MSE: 13.557204 | Loss: 11.286142
2025-12-05 16:56:04,896 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [85/1000] Train_MSE: 11.389255 Val_MSE: 13.475190 | Loss: 11.564999
2025-12-05 16:56:05,028 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [86/1000] Train_MSE: 10.850062 Val_MSE: 13.199000 | Loss: 10.770260
2025-12-05 16:56:05,168 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [87/1000] Train_MSE: 13.203641 Val_MSE: 15.098451 | Loss: 11.593794
2025-12-05 16:56:05,296 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [88/1000] Train_MSE: 10.636681 Val_MSE: 12.932994 | Loss: 12.037935
2025-12-05 16:56:05,420 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [89/1000] Train_MSE: 15.125842 Val_MSE: 17.249218 | Loss: 11.909638
2025-12-05 16:56:05,554 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [90/1000] Train_MSE: 11.196171 Val_MSE: 13.592525 | Loss: 11.437887
2025-12-05 16:56:05,685 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [91/1000] Train_MSE: 10.457276 Val_MSE: 12.881301 | Loss: 11.640368
2025-12-05 16:56:05,812 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [92/1000] Train_MSE: 10.412744 Val_MSE: 12.507665 | Loss: 12.913714
