2025-12-05 20:15:47,130 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: exp
2025-12-05 20:15:47,130 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------------+
| Parameter  | Value              |
+------------+--------------------+
| cuda       | 3                  |
+------------+--------------------+
| datadir    | data/Lipophilicity |
+------------+--------------------+
| epoch      | 1000               |
+------------+--------------------+
| seed       | [42]               |
+------------+--------------------+
| channels   | 64                 |
+------------+--------------------+
| pretrain   | 0                  |
+------------+--------------------+
| batch_size | 32                 |
+------------+--------------------+
| net_lr     | 0.001              |
+------------+--------------------+
2025-12-05 20:15:47,131 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for exp with seed 42 ---
2025-12-05 20:15:52,146 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [7/1000] Train_MSE: 1.135549 Val_MSE: 1.274032 | Loss: 1.172788
2025-12-05 20:15:52,149 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 7 with val_mse 1.274032
2025-12-05 20:15:52,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [8/1000] Train_MSE: 1.520162 Val_MSE: 1.603142 | Loss: 1.116086
2025-12-05 20:15:53,238 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [9/1000] Train_MSE: 1.104285 Val_MSE: 1.259124 | Loss: 1.117409
2025-12-05 20:15:53,241 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 9 with val_mse 1.259124
2025-12-05 20:15:53,787 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [10/1000] Train_MSE: 1.210695 Val_MSE: 1.373591 | Loss: 1.143123
2025-12-05 20:15:54,330 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [11/1000] Train_MSE: 1.107455 Val_MSE: 1.238464 | Loss: 1.081612
2025-12-05 20:15:54,333 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 11 with val_mse 1.238464
2025-12-05 20:15:54,873 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [12/1000] Train_MSE: 1.047555 Val_MSE: 1.192837 | Loss: 1.123484
2025-12-05 20:15:54,876 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 12 with val_mse 1.192837
2025-12-05 20:15:55,434 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [13/1000] Train_MSE: 1.311637 Val_MSE: 1.458537 | Loss: 1.099595
2025-12-05 20:15:55,981 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [14/1000] Train_MSE: 1.117470 Val_MSE: 1.224244 | Loss: 1.065641
2025-12-05 20:15:56,530 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [15/1000] Train_MSE: 1.035021 Val_MSE: 1.172324 | Loss: 1.077891
2025-12-05 20:15:56,533 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 15 with val_mse 1.172324
2025-12-05 20:15:57,074 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [16/1000] Train_MSE: 1.840917 Val_MSE: 2.034304 | Loss: 1.093911
2025-12-05 20:15:57,629 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [17/1000] Train_MSE: 1.149209 Val_MSE: 1.266875 | Loss: 1.059492
2025-12-05 20:15:58,196 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [18/1000] Train_MSE: 1.015595 Val_MSE: 1.162556 | Loss: 1.064179
2025-12-05 20:15:58,198 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 18 with val_mse 1.162556
2025-12-05 20:15:58,777 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [19/1000] Train_MSE: 1.034527 Val_MSE: 1.183989 | Loss: 1.047432
2025-12-05 20:15:59,329 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [20/1000] Train_MSE: 1.113591 Val_MSE: 1.222477 | Loss: 1.058747
2025-12-05 20:15:59,882 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [21/1000] Train_MSE: 1.271137 Val_MSE: 1.460284 | Loss: 1.053637
2025-12-05 20:16:00,440 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [22/1000] Train_MSE: 1.054822 Val_MSE: 1.167248 | Loss: 1.044950
2025-12-05 20:16:00,990 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [23/1000] Train_MSE: 0.981486 Val_MSE: 1.099417 | Loss: 1.033024
2025-12-05 20:16:00,993 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 23 with val_mse 1.099417
2025-12-05 20:16:01,558 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [24/1000] Train_MSE: 1.042239 Val_MSE: 1.198037 | Loss: 1.016570
2025-12-05 20:16:02,099 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [25/1000] Train_MSE: 0.983160 Val_MSE: 1.148196 | Loss: 1.006575
2025-12-05 20:16:02,705 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [26/1000] Train_MSE: 1.347223 Val_MSE: 1.510708 | Loss: 1.011571
2025-12-05 20:16:03,255 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [27/1000] Train_MSE: 1.193474 Val_MSE: 1.337612 | Loss: 0.993885
2025-12-05 20:16:03,795 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [28/1000] Train_MSE: 0.966792 Val_MSE: 1.118024 | Loss: 1.025770
2025-12-05 20:16:04,334 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [29/1000] Train_MSE: 1.216080 Val_MSE: 1.304480 | Loss: 0.988734
2025-12-05 20:16:04,872 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [30/1000] Train_MSE: 1.164634 Val_MSE: 1.255104 | Loss: 1.005519
2025-12-05 20:16:05,406 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [31/1000] Train_MSE: 0.996662 Val_MSE: 1.098254 | Loss: 0.977507
2025-12-05 20:16:05,408 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 31 with val_mse 1.098254
2025-12-05 20:16:05,945 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [32/1000] Train_MSE: 0.988930 Val_MSE: 1.099712 | Loss: 0.971195
2025-12-05 20:16:06,485 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [33/1000] Train_MSE: 0.925982 Val_MSE: 1.088870 | Loss: 0.985919
2025-12-05 20:16:06,487 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 33 with val_mse 1.088870
2025-12-05 20:16:07,027 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [34/1000] Train_MSE: 0.939860 Val_MSE: 1.057022 | Loss: 0.982715
2025-12-05 20:16:07,029 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 34 with val_mse 1.057022
2025-12-05 20:16:07,565 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [35/1000] Train_MSE: 1.194844 Val_MSE: 1.273008 | Loss: 1.009896
2025-12-05 20:16:08,107 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [36/1000] Train_MSE: 0.911205 Val_MSE: 1.046190 | Loss: 0.956372
2025-12-05 20:16:08,110 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 36 with val_mse 1.046190
2025-12-05 20:16:08,648 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [37/1000] Train_MSE: 1.113718 Val_MSE: 1.267462 | Loss: 0.966092
2025-12-05 20:16:09,189 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [38/1000] Train_MSE: 0.960618 Val_MSE: 1.054857 | Loss: 0.956445
2025-12-05 20:16:09,737 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [39/1000] Train_MSE: 1.192023 Val_MSE: 1.358378 | Loss: 0.963859
2025-12-05 20:16:10,284 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [40/1000] Train_MSE: 0.918044 Val_MSE: 1.028615 | Loss: 0.956692
2025-12-05 20:16:10,286 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 40 with val_mse 1.028615
2025-12-05 20:16:10,831 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [41/1000] Train_MSE: 0.989374 Val_MSE: 1.145434 | Loss: 0.925335
2025-12-05 20:16:11,364 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [42/1000] Train_MSE: 1.034422 Val_MSE: 1.126445 | Loss: 0.933807
2025-12-05 20:16:11,919 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [43/1000] Train_MSE: 1.409377 Val_MSE: 1.558216 | Loss: 0.943639
2025-12-05 20:16:12,459 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [44/1000] Train_MSE: 0.933275 Val_MSE: 1.096489 | Loss: 0.932924
2025-12-05 20:16:13,000 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [45/1000] Train_MSE: 1.052041 Val_MSE: 1.151016 | Loss: 0.946037
2025-12-05 20:16:13,543 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [46/1000] Train_MSE: 0.932838 Val_MSE: 1.081699 | Loss: 0.940851
2025-12-05 20:16:14,084 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [47/1000] Train_MSE: 1.074335 Val_MSE: 1.201232 | Loss: 0.922141
2025-12-05 20:16:14,619 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [48/1000] Train_MSE: 0.994065 Val_MSE: 1.114120 | Loss: 0.898335
2025-12-05 20:16:15,153 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [49/1000] Train_MSE: 0.920946 Val_MSE: 1.043715 | Loss: 0.938935
2025-12-05 20:16:15,689 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [50/1000] Train_MSE: 0.895765 Val_MSE: 1.019688 | Loss: 0.930395
2025-12-05 20:16:15,692 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 50 with val_mse 1.019688
2025-12-05 20:16:16,228 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [51/1000] Train_MSE: 0.933957 Val_MSE: 1.036052 | Loss: 0.902544
2025-12-05 20:16:16,763 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [52/1000] Train_MSE: 0.838339 Val_MSE: 0.987466 | Loss: 0.938769
2025-12-05 20:16:16,766 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 52 with val_mse 0.987466
2025-12-05 20:16:17,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [53/1000] Train_MSE: 1.066944 Val_MSE: 1.178283 | Loss: 0.895770
2025-12-05 20:16:17,845 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [54/1000] Train_MSE: 0.870906 Val_MSE: 1.011737 | Loss: 0.915536
2025-12-05 20:16:18,393 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [55/1000] Train_MSE: 0.886447 Val_MSE: 1.063943 | Loss: 0.914145
2025-12-05 20:16:18,935 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [56/1000] Train_MSE: 0.860236 Val_MSE: 1.019066 | Loss: 0.907663
2025-12-05 20:16:19,476 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [57/1000] Train_MSE: 0.856055 Val_MSE: 0.997244 | Loss: 0.876612
2025-12-05 20:16:20,015 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [58/1000] Train_MSE: 1.255211 Val_MSE: 1.360476 | Loss: 0.881482
2025-12-05 20:16:20,554 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [59/1000] Train_MSE: 0.855606 Val_MSE: 0.979408 | Loss: 0.909380
2025-12-05 20:16:20,556 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 59 with val_mse 0.979408
2025-12-05 20:16:21,106 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [60/1000] Train_MSE: 0.878462 Val_MSE: 1.019519 | Loss: 0.876971
2025-12-05 20:16:21,635 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [61/1000] Train_MSE: 0.922357 Val_MSE: 1.064794 | Loss: 0.902854
2025-12-05 20:16:22,176 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [62/1000] Train_MSE: 0.847692 Val_MSE: 0.996063 | Loss: 0.920312
2025-12-05 20:16:22,670 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [63/1000] Train_MSE: 0.840438 Val_MSE: 0.944515 | Loss: 0.871703
2025-12-05 20:16:22,673 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 63 with val_mse 0.944515
2025-12-05 20:16:23,213 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [64/1000] Train_MSE: 0.808627 Val_MSE: 0.952977 | Loss: 0.860374
2025-12-05 20:16:23,751 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [65/1000] Train_MSE: 0.836467 Val_MSE: 0.949708 | Loss: 0.850848
2025-12-05 20:16:24,289 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [66/1000] Train_MSE: 0.969136 Val_MSE: 1.099559 | Loss: 0.856824
2025-12-05 20:16:24,835 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [67/1000] Train_MSE: 0.846427 Val_MSE: 1.033787 | Loss: 0.873230
2025-12-05 20:16:25,373 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [68/1000] Train_MSE: 1.003473 Val_MSE: 1.180690 | Loss: 0.859729
2025-12-05 20:16:25,913 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [69/1000] Train_MSE: 0.821862 Val_MSE: 0.975458 | Loss: 0.847903
2025-12-05 20:16:26,455 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [70/1000] Train_MSE: 1.063726 Val_MSE: 1.161731 | Loss: 0.887352
2025-12-05 20:16:26,994 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [71/1000] Train_MSE: 0.787399 Val_MSE: 0.938091 | Loss: 0.838635
2025-12-05 20:16:26,997 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 71 with val_mse 0.938091
2025-12-05 20:16:27,534 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [72/1000] Train_MSE: 0.847920 Val_MSE: 1.002220 | Loss: 0.851271
2025-12-05 20:16:28,078 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [73/1000] Train_MSE: 0.839620 Val_MSE: 1.012244 | Loss: 0.874582
2025-12-05 20:16:28,624 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [74/1000] Train_MSE: 0.959813 Val_MSE: 1.131702 | Loss: 0.844571
2025-12-05 20:16:29,164 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [75/1000] Train_MSE: 1.063095 Val_MSE: 1.252566 | Loss: 0.862152
2025-12-05 20:16:29,716 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [76/1000] Train_MSE: 0.882786 Val_MSE: 1.003284 | Loss: 0.880736
2025-12-05 20:16:30,254 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [77/1000] Train_MSE: 0.857366 Val_MSE: 1.043846 | Loss: 0.873135
2025-12-05 20:16:30,794 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [78/1000] Train_MSE: 0.781469 Val_MSE: 0.933053 | Loss: 0.865294
2025-12-05 20:16:30,796 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 78 with val_mse 0.933053
2025-12-05 20:16:31,338 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [79/1000] Train_MSE: 0.905732 Val_MSE: 1.035171 | Loss: 0.840803
2025-12-05 20:16:31,864 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [80/1000] Train_MSE: 0.811833 Val_MSE: 0.966724 | Loss: 0.826755
2025-12-05 20:16:32,407 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [81/1000] Train_MSE: 0.818691 Val_MSE: 0.954919 | Loss: 0.857321
2025-12-05 20:16:32,949 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [82/1000] Train_MSE: 1.618884 Val_MSE: 1.696345 | Loss: 0.840621
2025-12-05 20:16:33,489 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [83/1000] Train_MSE: 0.755849 Val_MSE: 0.915937 | Loss: 0.828286
2025-12-05 20:16:33,491 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 83 with val_mse 0.915937
2025-12-05 20:16:34,040 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [84/1000] Train_MSE: 1.038670 Val_MSE: 1.141012 | Loss: 0.866430
2025-12-05 20:16:34,586 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [85/1000] Train_MSE: 0.817228 Val_MSE: 0.975175 | Loss: 0.854900
2025-12-05 20:16:35,122 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [86/1000] Train_MSE: 0.982128 Val_MSE: 1.111949 | Loss: 0.827753
2025-12-05 20:16:35,656 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [87/1000] Train_MSE: 1.016246 Val_MSE: 1.141954 | Loss: 0.818126
2025-12-05 20:16:36,189 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [88/1000] Train_MSE: 0.837305 Val_MSE: 0.971627 | Loss: 0.835927
2025-12-05 20:16:36,722 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [89/1000] Train_MSE: 0.755646 Val_MSE: 0.912849 | Loss: 0.837568
2025-12-05 20:16:36,725 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 89 with val_mse 0.912849
2025-12-05 20:16:37,258 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [90/1000] Train_MSE: 1.080334 Val_MSE: 1.273729 | Loss: 0.836398
2025-12-05 20:16:37,800 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [91/1000] Train_MSE: 0.819758 Val_MSE: 0.979486 | Loss: 0.817994
2025-12-05 20:16:38,337 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [92/1000] Train_MSE: 0.816012 Val_MSE: 0.947762 | Loss: 0.815675
2025-12-05 20:16:38,878 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [93/1000] Train_MSE: 0.777281 Val_MSE: 0.923712 | Loss: 0.831245
2025-12-05 20:16:39,418 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [94/1000] Train_MSE: 0.752745 Val_MSE: 0.910102 | Loss: 0.826907
2025-12-05 20:16:39,421 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 94 with val_mse 0.910102
2025-12-05 20:16:39,972 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [95/1000] Train_MSE: 0.735969 Val_MSE: 0.885577 | Loss: 0.811802
