2025-12-05 16:56:37,751 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: Tg
2025-12-05 16:56:37,752 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 5            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| heads      | 1            |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:56:37,752 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for Tg with seed 42 ---
2025-12-05 16:56:38,619 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [7/1000] Train_MSE: 12670.193763 Val_MSE: 12825.177638 | Loss: 12837.622144
2025-12-05 16:56:38,621 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 7 with val_mse 12825.177638
2025-12-05 16:56:38,756 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [8/1000] Train_MSE: 11260.335368 Val_MSE: 11990.185682 | Loss: 10829.718164
2025-12-05 16:56:38,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 8 with val_mse 11990.185682
2025-12-05 16:56:38,892 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [9/1000] Train_MSE: 10136.781986 Val_MSE: 11443.545782 | Loss: 9918.327002
2025-12-05 16:56:38,894 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 9 with val_mse 11443.545782
2025-12-05 16:56:39,009 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [10/1000] Train_MSE: 9579.934125 Val_MSE: 11446.519212 | Loss: 10030.661230
2025-12-05 16:56:39,119 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [11/1000] Train_MSE: 10123.229463 Val_MSE: 11327.121587 | Loss: 10298.684180
2025-12-05 16:56:39,121 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 11 with val_mse 11327.121587
2025-12-05 16:56:39,237 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [12/1000] Train_MSE: 10543.204599 Val_MSE: 12188.463297 | Loss: 9525.364746
2025-12-05 16:56:39,345 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [13/1000] Train_MSE: 9468.368846 Val_MSE: 11680.729212 | Loss: 9521.742627
2025-12-05 16:56:39,455 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [14/1000] Train_MSE: 9438.250727 Val_MSE: 11449.795811 | Loss: 9324.225146
2025-12-05 16:56:39,574 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [15/1000] Train_MSE: 9448.694778 Val_MSE: 11191.364171 | Loss: 9837.434131
2025-12-05 16:56:39,577 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 15 with val_mse 11191.364171
2025-12-05 16:56:39,692 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [16/1000] Train_MSE: 9344.295468 Val_MSE: 11324.693040 | Loss: 9449.196387
2025-12-05 16:56:39,810 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [17/1000] Train_MSE: 9339.994089 Val_MSE: 11392.840472 | Loss: 9624.375000
2025-12-05 16:56:39,930 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [18/1000] Train_MSE: 9342.033024 Val_MSE: 11433.583917 | Loss: 9340.412012
2025-12-05 16:56:40,046 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [19/1000] Train_MSE: 9604.106400 Val_MSE: 11945.969011 | Loss: 9538.319580
2025-12-05 16:56:40,174 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [20/1000] Train_MSE: 10314.045357 Val_MSE: 12531.156907 | Loss: 9200.913135
2025-12-05 16:56:40,288 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [21/1000] Train_MSE: 9579.605712 Val_MSE: 11897.008228 | Loss: 9388.352539
2025-12-05 16:56:40,400 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [22/1000] Train_MSE: 9233.314018 Val_MSE: 11676.340559 | Loss: 9332.724023
2025-12-05 16:56:40,512 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [23/1000] Train_MSE: 9237.825248 Val_MSE: 11675.475973 | Loss: 9037.105420
2025-12-05 16:56:40,624 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [24/1000] Train_MSE: 9197.075166 Val_MSE: 11218.505173 | Loss: 9220.189478
2025-12-05 16:56:40,740 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [25/1000] Train_MSE: 9590.298393 Val_MSE: 11007.862894 | Loss: 9983.097021
2025-12-05 16:56:40,743 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 25 with val_mse 11007.862894
2025-12-05 16:56:40,856 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [26/1000] Train_MSE: 9186.261528 Val_MSE: 11144.253171 | Loss: 9063.674805
2025-12-05 16:56:40,968 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [27/1000] Train_MSE: 9055.827706 Val_MSE: 11365.389088 | Loss: 8786.422021
2025-12-05 16:56:41,080 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [28/1000] Train_MSE: 9209.915202 Val_MSE: 11589.258518 | Loss: 9152.019287
2025-12-05 16:56:41,193 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [29/1000] Train_MSE: 9388.019643 Val_MSE: 11889.312800 | Loss: 9218.917187
2025-12-05 16:56:41,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [30/1000] Train_MSE: 12721.239373 Val_MSE: 15405.808323 | Loss: 9244.752490
2025-12-05 16:56:41,420 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [31/1000] Train_MSE: 13662.130952 Val_MSE: 15692.860932 | Loss: 9438.477686
2025-12-05 16:56:41,541 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [32/1000] Train_MSE: 10063.946590 Val_MSE: 12423.796720 | Loss: 9016.583398
2025-12-05 16:56:41,661 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [33/1000] Train_MSE: 9124.183242 Val_MSE: 11976.100557 | Loss: 8927.136621
2025-12-05 16:56:41,775 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [34/1000] Train_MSE: 10589.710326 Val_MSE: 13566.602761 | Loss: 8969.272217
2025-12-05 16:56:41,890 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [35/1000] Train_MSE: 9785.938598 Val_MSE: 12362.927444 | Loss: 8900.909570
2025-12-05 16:56:42,025 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [36/1000] Train_MSE: 9099.666456 Val_MSE: 10974.277866 | Loss: 9565.816943
2025-12-05 16:56:42,028 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 36 with val_mse 10974.277866
2025-12-05 16:56:42,156 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [37/1000] Train_MSE: 10053.527986 Val_MSE: 12451.432994 | Loss: 9022.695850
2025-12-05 16:56:42,280 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [38/1000] Train_MSE: 9461.579604 Val_MSE: 11855.392414 | Loss: 8637.786230
2025-12-05 16:56:42,391 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [39/1000] Train_MSE: 10603.718334 Val_MSE: 13231.706180 | Loss: 9250.149561
2025-12-05 16:56:42,506 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [40/1000] Train_MSE: 9215.319701 Val_MSE: 11887.642965 | Loss: 8806.216992
2025-12-05 16:56:42,627 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [41/1000] Train_MSE: 8387.733549 Val_MSE: 10980.897451 | Loss: 8795.759912
2025-12-05 16:56:42,742 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [42/1000] Train_MSE: 8836.071155 Val_MSE: 10795.431766 | Loss: 8458.582959
2025-12-05 16:56:42,744 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 42 with val_mse 10795.431766
2025-12-05 16:56:42,858 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [43/1000] Train_MSE: 9296.580126 Val_MSE: 11735.931766 | Loss: 8682.085645
2025-12-05 16:56:42,982 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [44/1000] Train_MSE: 8604.377168 Val_MSE: 10931.264184 | Loss: 9043.962793
2025-12-05 16:56:43,113 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [45/1000] Train_MSE: 8413.863129 Val_MSE: 10577.856349 | Loss: 8618.613477
2025-12-05 16:56:43,116 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 45 with val_mse 10577.856349
2025-12-05 16:56:43,236 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [46/1000] Train_MSE: 8267.280121 Val_MSE: 10556.476021 | Loss: 8550.514160
2025-12-05 16:56:43,238 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 46 with val_mse 10556.476021
2025-12-05 16:56:43,361 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [47/1000] Train_MSE: 8865.736098 Val_MSE: 11263.144821 | Loss: 8381.364453
2025-12-05 16:56:43,488 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [48/1000] Train_MSE: 8371.535813 Val_MSE: 11007.981068 | Loss: 8643.293066
2025-12-05 16:56:43,600 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [49/1000] Train_MSE: 10956.814636 Val_MSE: 13782.947507 | Loss: 8618.423145
2025-12-05 16:56:43,716 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [50/1000] Train_MSE: 13841.495517 Val_MSE: 17091.744141 | Loss: 8680.110254
2025-12-05 16:56:43,824 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [51/1000] Train_MSE: 15426.624126 Val_MSE: 18617.265818 | Loss: 8337.543994
2025-12-05 16:56:43,929 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [52/1000] Train_MSE: 11225.579681 Val_MSE: 14395.324257 | Loss: 8495.597363
2025-12-05 16:56:44,033 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [53/1000] Train_MSE: 8077.043036 Val_MSE: 10758.133567 | Loss: 8193.662061
2025-12-05 16:56:44,139 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [54/1000] Train_MSE: 8364.954281 Val_MSE: 11243.519686 | Loss: 8040.637842
2025-12-05 16:56:44,243 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [55/1000] Train_MSE: 8500.321625 Val_MSE: 10808.997360 | Loss: 8553.429297
2025-12-05 16:56:44,352 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [56/1000] Train_MSE: 9377.989560 Val_MSE: 12179.353960 | Loss: 8619.572803
2025-12-05 16:56:44,465 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [57/1000] Train_MSE: 8971.667511 Val_MSE: 11782.120543 | Loss: 8534.707129
2025-12-05 16:56:44,580 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [58/1000] Train_MSE: 9341.992367 Val_MSE: 12181.948262 | Loss: 8347.628467
2025-12-05 16:56:44,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [59/1000] Train_MSE: 8308.636259 Val_MSE: 10835.493203 | Loss: 8104.314062
2025-12-05 16:56:44,814 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [60/1000] Train_MSE: 8322.070365 Val_MSE: 10717.265567 | Loss: 8377.235156
2025-12-05 16:56:44,927 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [61/1000] Train_MSE: 12449.595255 Val_MSE: 15361.076887 | Loss: 8216.483057
2025-12-05 16:56:45,042 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [62/1000] Train_MSE: 13025.154876 Val_MSE: 15529.532739 | Loss: 7798.153809
2025-12-05 16:56:45,166 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [63/1000] Train_MSE: 10512.516509 Val_MSE: 13551.967609 | Loss: 8224.596680
2025-12-05 16:56:45,299 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [64/1000] Train_MSE: 7971.498729 Val_MSE: 11260.451385 | Loss: 8117.698389
2025-12-05 16:56:45,433 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [65/1000] Train_MSE: 8580.040772 Val_MSE: 11091.418104 | Loss: 8366.523096
2025-12-05 16:56:45,581 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [66/1000] Train_MSE: 8400.269491 Val_MSE: 11075.977636 | Loss: 7974.812695
2025-12-05 16:56:45,713 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [67/1000] Train_MSE: 8798.169919 Val_MSE: 12161.909982 | Loss: 7936.600391
2025-12-05 16:56:45,826 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [68/1000] Train_MSE: 8206.901950 Val_MSE: 11529.345568 | Loss: 7810.278027
2025-12-05 16:56:45,975 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [69/1000] Train_MSE: 8991.267649 Val_MSE: 11031.499062 | Loss: 8465.515503
2025-12-05 16:56:46,097 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [70/1000] Train_MSE: 8052.266806 Val_MSE: 11592.640606 | Loss: 8268.273096
2025-12-05 16:56:46,229 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [71/1000] Train_MSE: 10344.830475 Val_MSE: 13199.903997 | Loss: 7795.638135
2025-12-05 16:56:46,360 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [72/1000] Train_MSE: 11289.720818 Val_MSE: 13563.558255 | Loss: 8039.344678
2025-12-05 16:56:46,502 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [73/1000] Train_MSE: 9051.017325 Val_MSE: 11299.849619 | Loss: 7869.102588
2025-12-05 16:56:46,678 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [74/1000] Train_MSE: 9025.153087 Val_MSE: 12812.395943 | Loss: 7930.567334
2025-12-05 16:56:46,814 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [75/1000] Train_MSE: 8475.635819 Val_MSE: 11761.664121 | Loss: 7710.144385
2025-12-05 16:56:46,946 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [76/1000] Train_MSE: 10333.693785 Val_MSE: 12719.081142 | Loss: 7565.030762
2025-12-05 16:56:47,072 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [77/1000] Train_MSE: 16444.496023 Val_MSE: 19324.873820 | Loss: 7782.496143
2025-12-05 16:56:47,190 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [78/1000] Train_MSE: 8956.783869 Val_MSE: 11263.928547 | Loss: 7805.433008
2025-12-05 16:56:47,314 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [79/1000] Train_MSE: 9849.984236 Val_MSE: 12824.150545 | Loss: 7833.279736
2025-12-05 16:56:47,450 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [80/1000] Train_MSE: 13550.055174 Val_MSE: 16882.575940 | Loss: 7476.991650
2025-12-05 16:56:47,565 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [81/1000] Train_MSE: 8487.883887 Val_MSE: 11516.616482 | Loss: 7358.224927
2025-12-05 16:56:47,678 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [82/1000] Train_MSE: 10338.043140 Val_MSE: 12436.288395 | Loss: 8064.181738
2025-12-05 16:56:47,806 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [83/1000] Train_MSE: 8130.039559 Val_MSE: 10912.576017 | Loss: 7811.282764
2025-12-05 16:56:47,929 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [84/1000] Train_MSE: 18491.624994 Val_MSE: 21231.366182 | Loss: 8079.339038
2025-12-05 16:56:48,047 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [85/1000] Train_MSE: 12877.820998 Val_MSE: 15786.536752 | Loss: 7920.091309
2025-12-05 16:56:48,174 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [86/1000] Train_MSE: 8316.922336 Val_MSE: 12153.848546 | Loss: 7380.392725
2025-12-05 16:56:48,309 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [87/1000] Train_MSE: 7829.835543 Val_MSE: 11194.752166 | Loss: 7522.994727
2025-12-05 16:56:48,427 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [88/1000] Train_MSE: 11650.902353 Val_MSE: 14113.399443 | Loss: 7450.148877
2025-12-05 16:56:48,564 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [89/1000] Train_MSE: 16602.833370 Val_MSE: 19282.377156 | Loss: 7597.958984
2025-12-05 16:56:48,680 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [90/1000] Train_MSE: 9211.957688 Val_MSE: 12120.285582 | Loss: 7829.095850
2025-12-05 16:56:48,798 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [91/1000] Train_MSE: 9509.568944 Val_MSE: 12174.704382 | Loss: 7577.814844
2025-12-05 16:56:48,908 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [92/1000] Train_MSE: 8590.928855 Val_MSE: 10489.146600 | Loss: 7238.174365
2025-12-05 16:56:48,910 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 92 with val_mse 10489.146600
2025-12-05 16:56:49,018 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [93/1000] Train_MSE: 36023.158197 Val_MSE: 36961.272084 | Loss: 7459.131104
2025-12-05 16:56:49,155 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [94/1000] Train_MSE: 12578.011098 Val_MSE: 14910.354105 | Loss: 7832.870410
2025-12-05 16:56:49,312 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [95/1000] Train_MSE: 14956.523143 Val_MSE: 18010.196995 | Loss: 7380.856543
2025-12-05 16:56:49,476 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [96/1000] Train_MSE: 8984.119531 Val_MSE: 12100.678856 | Loss: 7406.095044
2025-12-05 16:56:49,607 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [97/1000] Train_MSE: 9452.777613 Val_MSE: 11620.725683 | Loss: 8014.096484
2025-12-05 16:56:49,728 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [98/1000] Train_MSE: 11890.530946 Val_MSE: 14783.449422 | Loss: 7583.036816
