2025-12-05 16:57:47,781 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: FFV
2025-12-05 16:57:47,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:57:47,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for FFV with seed 42 ---
2025-12-05 16:58:13,953 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [26/1000] Train_MSE: 0.000232 Val_MSE: 0.000299 | Loss: 0.000273
2025-12-05 16:58:14,992 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [27/1000] Train_MSE: 0.000221 Val_MSE: 0.000290 | Loss: 0.000272
2025-12-05 16:58:15,998 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [28/1000] Train_MSE: 0.000226 Val_MSE: 0.000307 | Loss: 0.000249
2025-12-05 16:58:16,977 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [29/1000] Train_MSE: 0.000225 Val_MSE: 0.000291 | Loss: 0.000262
2025-12-05 16:58:17,978 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [30/1000] Train_MSE: 0.000242 Val_MSE: 0.000314 | Loss: 0.000248
2025-12-05 16:58:18,962 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [31/1000] Train_MSE: 0.000216 Val_MSE: 0.000276 | Loss: 0.000258
2025-12-05 16:58:18,965 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 31 with val_mse 0.000276
2025-12-05 16:58:19,927 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [32/1000] Train_MSE: 0.000306 Val_MSE: 0.000369 | Loss: 0.000246
2025-12-05 16:58:20,916 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [33/1000] Train_MSE: 0.000245 Val_MSE: 0.000308 | Loss: 0.000302
2025-12-05 16:58:21,970 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [34/1000] Train_MSE: 0.000336 Val_MSE: 0.000396 | Loss: 0.000272
2025-12-05 16:58:23,011 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [35/1000] Train_MSE: 0.000202 Val_MSE: 0.000254 | Loss: 0.000254
2025-12-05 16:58:23,014 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 35 with val_mse 0.000254
2025-12-05 16:58:24,016 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [36/1000] Train_MSE: 0.000366 Val_MSE: 0.000397 | Loss: 0.000262
2025-12-05 16:58:25,025 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [37/1000] Train_MSE: 0.000223 Val_MSE: 0.000291 | Loss: 0.000252
2025-12-05 16:58:26,132 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [38/1000] Train_MSE: 0.000231 Val_MSE: 0.000322 | Loss: 0.000237
2025-12-05 16:58:27,231 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [39/1000] Train_MSE: 0.000215 Val_MSE: 0.000274 | Loss: 0.000249
2025-12-05 16:58:28,237 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [40/1000] Train_MSE: 0.000205 Val_MSE: 0.000263 | Loss: 0.000251
2025-12-05 16:58:29,301 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [41/1000] Train_MSE: 0.000202 Val_MSE: 0.000245 | Loss: 0.000242
2025-12-05 16:58:29,304 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 41 with val_mse 0.000245
2025-12-05 16:58:30,285 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [42/1000] Train_MSE: 0.000212 Val_MSE: 0.000275 | Loss: 0.000246
2025-12-05 16:58:31,315 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [43/1000] Train_MSE: 0.000238 Val_MSE: 0.000272 | Loss: 0.000239
2025-12-05 16:58:32,312 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [44/1000] Train_MSE: 0.000194 Val_MSE: 0.000240 | Loss: 0.000238
2025-12-05 16:58:32,314 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 44 with val_mse 0.000240
2025-12-05 16:58:33,287 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [45/1000] Train_MSE: 0.000377 Val_MSE: 0.000443 | Loss: 0.000231
2025-12-05 16:58:34,239 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [46/1000] Train_MSE: 0.000187 Val_MSE: 0.000244 | Loss: 0.000233
2025-12-05 16:58:35,188 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [47/1000] Train_MSE: 0.000233 Val_MSE: 0.000300 | Loss: 0.000234
2025-12-05 16:58:36,146 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [48/1000] Train_MSE: 0.000203 Val_MSE: 0.000258 | Loss: 0.000244
2025-12-05 16:58:37,221 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [49/1000] Train_MSE: 0.000201 Val_MSE: 0.000236 | Loss: 0.000237
2025-12-05 16:58:37,224 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 49 with val_mse 0.000236
2025-12-05 16:58:38,285 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [50/1000] Train_MSE: 0.000249 Val_MSE: 0.000319 | Loss: 0.000230
2025-12-05 16:58:39,336 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [51/1000] Train_MSE: 0.000272 Val_MSE: 0.000343 | Loss: 0.000224
2025-12-05 16:58:40,369 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [52/1000] Train_MSE: 0.000177 Val_MSE: 0.000232 | Loss: 0.000227
2025-12-05 16:58:40,372 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 52 with val_mse 0.000232
2025-12-05 16:58:41,352 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [53/1000] Train_MSE: 0.000209 Val_MSE: 0.000302 | Loss: 0.000222
2025-12-05 16:58:42,356 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [54/1000] Train_MSE: 0.000178 Val_MSE: 0.000240 | Loss: 0.000236
2025-12-05 16:58:43,336 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [55/1000] Train_MSE: 0.000254 Val_MSE: 0.000299 | Loss: 0.000219
2025-12-05 16:58:44,294 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [56/1000] Train_MSE: 0.000192 Val_MSE: 0.000279 | Loss: 0.000216
2025-12-05 16:58:45,246 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [57/1000] Train_MSE: 0.000319 Val_MSE: 0.000366 | Loss: 0.000228
2025-12-05 16:58:46,187 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [58/1000] Train_MSE: 0.000302 Val_MSE: 0.000341 | Loss: 0.000210
2025-12-05 16:58:47,178 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [59/1000] Train_MSE: 0.000184 Val_MSE: 0.000229 | Loss: 0.000229
2025-12-05 16:58:47,181 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 59 with val_mse 0.000229
2025-12-05 16:58:48,162 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [60/1000] Train_MSE: 0.000269 Val_MSE: 0.000319 | Loss: 0.000209
2025-12-05 16:58:49,209 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [61/1000] Train_MSE: 0.000214 Val_MSE: 0.000256 | Loss: 0.000230
2025-12-05 16:58:50,188 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [62/1000] Train_MSE: 0.000194 Val_MSE: 0.000230 | Loss: 0.000207
2025-12-05 16:58:51,206 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [63/1000] Train_MSE: 0.000192 Val_MSE: 0.000231 | Loss: 0.000235
2025-12-05 16:58:52,264 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [64/1000] Train_MSE: 0.000179 Val_MSE: 0.000217 | Loss: 0.000214
2025-12-05 16:58:52,267 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 64 with val_mse 0.000217
2025-12-05 16:58:53,288 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [65/1000] Train_MSE: 0.000192 Val_MSE: 0.000216 | Loss: 0.000208
2025-12-05 16:58:53,291 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 65 with val_mse 0.000216
2025-12-05 16:58:54,349 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [66/1000] Train_MSE: 0.000196 Val_MSE: 0.000221 | Loss: 0.000221
2025-12-05 16:58:55,347 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [67/1000] Train_MSE: 0.000212 Val_MSE: 0.000253 | Loss: 0.000200
2025-12-05 16:58:56,293 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [68/1000] Train_MSE: 0.000161 Val_MSE: 0.000183 | Loss: 0.000230
2025-12-05 16:58:56,296 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 68 with val_mse 0.000183
2025-12-05 16:58:57,276 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [69/1000] Train_MSE: 0.000141 Val_MSE: 0.000177 | Loss: 0.000196
2025-12-05 16:58:57,279 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 69 with val_mse 0.000177
2025-12-05 16:58:58,279 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [70/1000] Train_MSE: 0.000146 Val_MSE: 0.000185 | Loss: 0.000194
2025-12-05 16:58:59,272 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [71/1000] Train_MSE: 0.000335 Val_MSE: 0.000385 | Loss: 0.000202
2025-12-05 16:59:00,270 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [72/1000] Train_MSE: 0.000154 Val_MSE: 0.000177 | Loss: 0.000198
2025-12-05 16:59:00,273 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 72 with val_mse 0.000177
2025-12-05 16:59:01,248 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [73/1000] Train_MSE: 0.000278 Val_MSE: 0.000347 | Loss: 0.000193
2025-12-05 16:59:02,200 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [74/1000] Train_MSE: 0.000153 Val_MSE: 0.000191 | Loss: 0.000200
2025-12-05 16:59:03,206 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [75/1000] Train_MSE: 0.000165 Val_MSE: 0.000211 | Loss: 0.000204
2025-12-05 16:59:04,193 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [76/1000] Train_MSE: 0.000209 Val_MSE: 0.000307 | Loss: 0.000195
2025-12-05 16:59:05,138 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [77/1000] Train_MSE: 0.000182 Val_MSE: 0.000227 | Loss: 0.000208
2025-12-05 16:59:06,095 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [78/1000] Train_MSE: 0.000220 Val_MSE: 0.000297 | Loss: 0.000190
2025-12-05 16:59:07,080 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [79/1000] Train_MSE: 0.000161 Val_MSE: 0.000213 | Loss: 0.000208
2025-12-05 16:59:08,085 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [80/1000] Train_MSE: 0.000261 Val_MSE: 0.000326 | Loss: 0.000208
2025-12-05 16:59:09,084 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [81/1000] Train_MSE: 0.000227 Val_MSE: 0.000312 | Loss: 0.000185
2025-12-05 16:59:10,135 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [82/1000] Train_MSE: 0.000223 Val_MSE: 0.000262 | Loss: 0.000191
2025-12-05 16:59:11,173 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [83/1000] Train_MSE: 0.000246 Val_MSE: 0.000300 | Loss: 0.000210
2025-12-05 16:59:12,159 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [84/1000] Train_MSE: 0.000154 Val_MSE: 0.000218 | Loss: 0.000245
2025-12-05 16:59:13,141 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [85/1000] Train_MSE: 0.000339 Val_MSE: 0.000371 | Loss: 0.000197
2025-12-05 16:59:14,100 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [86/1000] Train_MSE: 0.000132 Val_MSE: 0.000197 | Loss: 0.000191
2025-12-05 16:59:15,066 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [87/1000] Train_MSE: 0.000146 Val_MSE: 0.000200 | Loss: 0.000172
2025-12-05 16:59:16,030 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [88/1000] Train_MSE: 0.000157 Val_MSE: 0.000220 | Loss: 0.000165
2025-12-05 16:59:16,992 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [89/1000] Train_MSE: 0.000155 Val_MSE: 0.000211 | Loss: 0.000180
2025-12-05 16:59:17,992 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [90/1000] Train_MSE: 0.000184 Val_MSE: 0.000214 | Loss: 0.000178
2025-12-05 16:59:18,991 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [91/1000] Train_MSE: 0.000262 Val_MSE: 0.000305 | Loss: 0.000185
2025-12-05 16:59:19,987 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [92/1000] Train_MSE: 0.000195 Val_MSE: 0.000239 | Loss: 0.000185
2025-12-05 16:59:20,958 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [93/1000] Train_MSE: 0.000151 Val_MSE: 0.000202 | Loss: 0.000192
2025-12-05 16:59:21,963 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [94/1000] Train_MSE: 0.000160 Val_MSE: 0.000212 | Loss: 0.000182
2025-12-05 16:59:22,965 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [95/1000] Train_MSE: 0.000177 Val_MSE: 0.000239 | Loss: 0.000200
2025-12-05 16:59:23,979 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [96/1000] Train_MSE: 0.000436 Val_MSE: 0.000480 | Loss: 0.000199
2025-12-05 16:59:24,937 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [97/1000] Train_MSE: 0.000161 Val_MSE: 0.000193 | Loss: 0.000173
2025-12-05 16:59:25,898 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [98/1000] Train_MSE: 0.000141 Val_MSE: 0.000192 | Loss: 0.000191
