2025-12-05 16:57:05,359 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: Density
2025-12-05 16:57:05,360 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 5            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| heads      | 1            |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:57:05,360 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for Density with seed 42 ---
2025-12-05 16:57:07,897 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [18/1000] Train_MSE: 0.011998 Val_MSE: 0.011355 | Loss: 0.011974
2025-12-05 16:57:08,031 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [19/1000] Train_MSE: 0.013329 Val_MSE: 0.012982 | Loss: 0.010254
2025-12-05 16:57:08,168 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [20/1000] Train_MSE: 0.012984 Val_MSE: 0.013762 | Loss: 0.013555
2025-12-05 16:57:08,315 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [21/1000] Train_MSE: 0.017000 Val_MSE: 0.018127 | Loss: 0.010770
2025-12-05 16:57:08,455 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [22/1000] Train_MSE: 0.011328 Val_MSE: 0.012512 | Loss: 0.012246
2025-12-05 16:57:08,583 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [23/1000] Train_MSE: 0.008903 Val_MSE: 0.009943 | Loss: 0.009998
2025-12-05 16:57:08,721 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [24/1000] Train_MSE: 0.007831 Val_MSE: 0.008091 | Loss: 0.011895
2025-12-05 16:57:08,849 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [25/1000] Train_MSE: 0.010613 Val_MSE: 0.010735 | Loss: 0.011592
2025-12-05 16:57:08,972 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [26/1000] Train_MSE: 0.009142 Val_MSE: 0.009353 | Loss: 0.013243
2025-12-05 16:57:09,095 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [27/1000] Train_MSE: 0.011562 Val_MSE: 0.011662 | Loss: 0.011289
2025-12-05 16:57:09,223 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [28/1000] Train_MSE: 0.013330 Val_MSE: 0.014956 | Loss: 0.011437
2025-12-05 16:57:09,365 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [29/1000] Train_MSE: 0.007923 Val_MSE: 0.009073 | Loss: 0.010265
2025-12-05 16:57:09,499 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [30/1000] Train_MSE: 0.007919 Val_MSE: 0.008422 | Loss: 0.009172
2025-12-05 16:57:09,631 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [31/1000] Train_MSE: 0.007731 Val_MSE: 0.007963 | Loss: 0.010352
2025-12-05 16:57:09,634 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 31 with val_mse 0.007963
2025-12-05 16:57:09,767 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [32/1000] Train_MSE: 0.009442 Val_MSE: 0.010014 | Loss: 0.008839
2025-12-05 16:57:09,900 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [33/1000] Train_MSE: 0.008568 Val_MSE: 0.008836 | Loss: 0.009235
2025-12-05 16:57:10,031 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [34/1000] Train_MSE: 0.017347 Val_MSE: 0.017961 | Loss: 0.009930
2025-12-05 16:57:10,167 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [35/1000] Train_MSE: 0.007896 Val_MSE: 0.007792 | Loss: 0.008597
2025-12-05 16:57:10,169 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 35 with val_mse 0.007792
2025-12-05 16:57:10,301 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [36/1000] Train_MSE: 0.013837 Val_MSE: 0.013925 | Loss: 0.008975
2025-12-05 16:57:10,436 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [37/1000] Train_MSE: 0.012792 Val_MSE: 0.013207 | Loss: 0.009813
2025-12-05 16:57:10,566 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [38/1000] Train_MSE: 0.006920 Val_MSE: 0.007149 | Loss: 0.009805
2025-12-05 16:57:10,569 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 38 with val_mse 0.007149
2025-12-05 16:57:10,704 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [39/1000] Train_MSE: 0.010551 Val_MSE: 0.011002 | Loss: 0.010174
2025-12-05 16:57:10,836 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [40/1000] Train_MSE: 0.011296 Val_MSE: 0.012219 | Loss: 0.009087
2025-12-05 16:57:10,967 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [41/1000] Train_MSE: 0.013268 Val_MSE: 0.014098 | Loss: 0.009287
2025-12-05 16:57:11,100 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [42/1000] Train_MSE: 0.009267 Val_MSE: 0.009762 | Loss: 0.008556
2025-12-05 16:57:11,239 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [43/1000] Train_MSE: 0.007009 Val_MSE: 0.007159 | Loss: 0.009943
2025-12-05 16:57:11,371 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [44/1000] Train_MSE: 0.016759 Val_MSE: 0.017998 | Loss: 0.008511
2025-12-05 16:57:11,506 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [45/1000] Train_MSE: 0.010486 Val_MSE: 0.010146 | Loss: 0.009709
2025-12-05 16:57:11,641 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [46/1000] Train_MSE: 0.010804 Val_MSE: 0.010898 | Loss: 0.009253
2025-12-05 16:57:11,775 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [47/1000] Train_MSE: 0.010609 Val_MSE: 0.011192 | Loss: 0.009229
2025-12-05 16:57:11,911 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [48/1000] Train_MSE: 0.009529 Val_MSE: 0.009764 | Loss: 0.008157
2025-12-05 16:57:12,043 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [49/1000] Train_MSE: 0.014610 Val_MSE: 0.014941 | Loss: 0.010919
2025-12-05 16:57:12,176 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [50/1000] Train_MSE: 0.011092 Val_MSE: 0.011390 | Loss: 0.009055
2025-12-05 16:57:12,310 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [51/1000] Train_MSE: 0.008940 Val_MSE: 0.008700 | Loss: 0.009698
2025-12-05 16:57:12,444 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [52/1000] Train_MSE: 0.008354 Val_MSE: 0.008366 | Loss: 0.009554
2025-12-05 16:57:12,593 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [53/1000] Train_MSE: 0.011321 Val_MSE: 0.011720 | Loss: 0.009468
2025-12-05 16:57:12,729 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [54/1000] Train_MSE: 0.009133 Val_MSE: 0.009758 | Loss: 0.009429
2025-12-05 16:57:12,863 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [55/1000] Train_MSE: 0.011571 Val_MSE: 0.011623 | Loss: 0.009873
2025-12-05 16:57:13,011 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [56/1000] Train_MSE: 0.010752 Val_MSE: 0.010448 | Loss: 0.009479
2025-12-05 16:57:13,137 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [57/1000] Train_MSE: 0.009344 Val_MSE: 0.010366 | Loss: 0.007894
2025-12-05 16:57:13,265 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [58/1000] Train_MSE: 0.008703 Val_MSE: 0.009205 | Loss: 0.009769
2025-12-05 16:57:13,406 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [59/1000] Train_MSE: 0.006989 Val_MSE: 0.007454 | Loss: 0.008969
2025-12-05 16:57:13,545 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [60/1000] Train_MSE: 0.007393 Val_MSE: 0.008270 | Loss: 0.009647
2025-12-05 16:57:13,678 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [61/1000] Train_MSE: 0.008142 Val_MSE: 0.008832 | Loss: 0.009389
2025-12-05 16:57:13,810 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [62/1000] Train_MSE: 0.011394 Val_MSE: 0.012097 | Loss: 0.010509
2025-12-05 16:57:13,935 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [63/1000] Train_MSE: 0.007002 Val_MSE: 0.007317 | Loss: 0.009103
2025-12-05 16:57:14,071 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [64/1000] Train_MSE: 0.008790 Val_MSE: 0.009687 | Loss: 0.008627
2025-12-05 16:57:14,204 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [65/1000] Train_MSE: 0.007176 Val_MSE: 0.007772 | Loss: 0.008416
2025-12-05 16:57:14,338 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [66/1000] Train_MSE: 0.005634 Val_MSE: 0.005631 | Loss: 0.009356
2025-12-05 16:57:14,340 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 66 with val_mse 0.005631
2025-12-05 16:57:14,474 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [67/1000] Train_MSE: 0.006818 Val_MSE: 0.007128 | Loss: 0.009070
2025-12-05 16:57:14,616 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [68/1000] Train_MSE: 0.011314 Val_MSE: 0.011642 | Loss: 0.009005
2025-12-05 16:57:14,751 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [69/1000] Train_MSE: 0.019205 Val_MSE: 0.018911 | Loss: 0.008370
2025-12-05 16:57:14,887 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [70/1000] Train_MSE: 0.014596 Val_MSE: 0.015037 | Loss: 0.008200
2025-12-05 16:57:15,035 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [71/1000] Train_MSE: 0.006589 Val_MSE: 0.007153 | Loss: 0.009858
2025-12-05 16:57:15,156 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [72/1000] Train_MSE: 0.009081 Val_MSE: 0.009535 | Loss: 0.011801
2025-12-05 16:57:15,285 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [73/1000] Train_MSE: 0.007559 Val_MSE: 0.007933 | Loss: 0.012549
2025-12-05 16:57:15,410 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [74/1000] Train_MSE: 0.009251 Val_MSE: 0.010156 | Loss: 0.009081
2025-12-05 16:57:15,528 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [75/1000] Train_MSE: 0.011017 Val_MSE: 0.011151 | Loss: 0.009401
2025-12-05 16:57:15,653 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [76/1000] Train_MSE: 0.008869 Val_MSE: 0.008660 | Loss: 0.008775
2025-12-05 16:57:15,790 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [77/1000] Train_MSE: 0.010138 Val_MSE: 0.009980 | Loss: 0.007505
2025-12-05 16:57:15,935 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [78/1000] Train_MSE: 0.008970 Val_MSE: 0.009012 | Loss: 0.007794
2025-12-05 16:57:16,070 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [79/1000] Train_MSE: 0.010798 Val_MSE: 0.010703 | Loss: 0.008837
2025-12-05 16:57:16,213 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [80/1000] Train_MSE: 0.008218 Val_MSE: 0.008688 | Loss: 0.008736
2025-12-05 16:57:16,373 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [81/1000] Train_MSE: 0.008535 Val_MSE: 0.008703 | Loss: 0.010962
2025-12-05 16:57:16,508 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [82/1000] Train_MSE: 0.009166 Val_MSE: 0.009256 | Loss: 0.009420
2025-12-05 16:57:16,649 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [83/1000] Train_MSE: 0.010460 Val_MSE: 0.011050 | Loss: 0.008402
2025-12-05 16:57:16,789 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [84/1000] Train_MSE: 0.019506 Val_MSE: 0.020402 | Loss: 0.008144
2025-12-05 16:57:16,928 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [85/1000] Train_MSE: 0.008677 Val_MSE: 0.008582 | Loss: 0.008845
2025-12-05 16:57:17,066 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [86/1000] Train_MSE: 0.006591 Val_MSE: 0.006739 | Loss: 0.008266
2025-12-05 16:57:17,249 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [87/1000] Train_MSE: 0.006619 Val_MSE: 0.006953 | Loss: 0.009869
2025-12-05 16:57:17,392 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [88/1000] Train_MSE: 0.013554 Val_MSE: 0.014115 | Loss: 0.007815
2025-12-05 16:57:17,531 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [89/1000] Train_MSE: 0.006009 Val_MSE: 0.006006 | Loss: 0.008285
2025-12-05 16:57:17,674 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [90/1000] Train_MSE: 0.012741 Val_MSE: 0.013430 | Loss: 0.008708
2025-12-05 16:57:17,811 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [91/1000] Train_MSE: 0.006781 Val_MSE: 0.007575 | Loss: 0.008996
2025-12-05 16:57:17,946 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [92/1000] Train_MSE: 0.006056 Val_MSE: 0.006122 | Loss: 0.007971
2025-12-05 16:57:18,084 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [93/1000] Train_MSE: 0.005710 Val_MSE: 0.005864 | Loss: 0.009643
2025-12-05 16:57:18,226 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [94/1000] Train_MSE: 0.006548 Val_MSE: 0.006021 | Loss: 0.009674
2025-12-05 16:57:18,369 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [95/1000] Train_MSE: 0.007491 Val_MSE: 0.007440 | Loss: 0.007699
2025-12-05 16:57:18,519 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [96/1000] Train_MSE: 0.007519 Val_MSE: 0.007798 | Loss: 0.007960
2025-12-05 16:57:18,669 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [97/1000] Train_MSE: 0.007558 Val_MSE: 0.007685 | Loss: 0.009931
2025-12-05 16:57:18,808 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [98/1000] Train_MSE: 0.005852 Val_MSE: 0.005858 | Loss: 0.007441
2025-12-05 16:57:18,943 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [99/1000] Train_MSE: 0.007105 Val_MSE: 0.006808 | Loss: 0.008251
2025-12-05 16:57:19,082 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [100/1000] Train_MSE: 0.007571 Val_MSE: 0.007981 | Loss: 0.008263
2025-12-05 16:57:19,250 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [101/1000] Train_MSE: 0.012993 Val_MSE: 0.013264 | Loss: 0.008688
2025-12-05 16:57:19,394 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [102/1000] Train_MSE: 0.006760 Val_MSE: 0.006476 | Loss: 0.007812
2025-12-05 16:57:19,530 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [103/1000] Train_MSE: 0.008520 Val_MSE: 0.008172 | Loss: 0.008600
2025-12-05 16:57:19,664 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [104/1000] Train_MSE: 0.007000 Val_MSE: 0.007302 | Loss: 0.008632
2025-12-05 16:57:19,798 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [105/1000] Train_MSE: 0.007645 Val_MSE: 0.007897 | Loss: 0.008521
2025-12-05 16:57:19,937 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [106/1000] Train_MSE: 0.006578 Val_MSE: 0.006732 | Loss: 0.007996
2025-12-05 16:57:20,073 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [107/1000] Train_MSE: 0.005867 Val_MSE: 0.005531 | Loss: 0.007778
2025-12-05 16:57:20,076 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 107 with val_mse 0.005531
