2025-12-05 17:01:50,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Tc
2025-12-05 17:01:50,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 17:01:50,861 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Tc with seed 42 ---
2025-12-05 17:01:52,303 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [14/1000] Train_MSE: 0.001567 Val_MSE: 0.002380 | Loss: 0.002283
2025-12-05 17:01:52,305 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 14 with val_mse 0.002380
2025-12-05 17:01:52,409 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [15/1000] Train_MSE: 0.002860 Val_MSE: 0.003842 | Loss: 0.002009
2025-12-05 17:01:52,507 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [16/1000] Train_MSE: 0.001756 Val_MSE: 0.002477 | Loss: 0.002250
2025-12-05 17:01:52,605 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [17/1000] Train_MSE: 0.001435 Val_MSE: 0.002275 | Loss: 0.001978
2025-12-05 17:01:52,608 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 17 with val_mse 0.002275
2025-12-05 17:01:52,707 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [18/1000] Train_MSE: 0.003263 Val_MSE: 0.004182 | Loss: 0.002295
2025-12-05 17:01:52,806 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [19/1000] Train_MSE: 0.001466 Val_MSE: 0.002222 | Loss: 0.001796
2025-12-05 17:01:52,809 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 19 with val_mse 0.002222
2025-12-05 17:01:52,910 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [20/1000] Train_MSE: 0.002582 Val_MSE: 0.003526 | Loss: 0.001956
2025-12-05 17:01:53,010 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [21/1000] Train_MSE: 0.003026 Val_MSE: 0.003652 | Loss: 0.001854
2025-12-05 17:01:53,110 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [22/1000] Train_MSE: 0.001833 Val_MSE: 0.002641 | Loss: 0.001769
2025-12-05 17:01:53,213 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [23/1000] Train_MSE: 0.002184 Val_MSE: 0.003124 | Loss: 0.001687
2025-12-05 17:01:53,322 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [24/1000] Train_MSE: 0.002363 Val_MSE: 0.003071 | Loss: 0.001911
2025-12-05 17:01:53,429 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [25/1000] Train_MSE: 0.003717 Val_MSE: 0.004189 | Loss: 0.002288
2025-12-05 17:01:53,539 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [26/1000] Train_MSE: 0.001614 Val_MSE: 0.002294 | Loss: 0.001679
2025-12-05 17:01:53,646 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [27/1000] Train_MSE: 0.001688 Val_MSE: 0.002476 | Loss: 0.001908
2025-12-05 17:01:53,756 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [28/1000] Train_MSE: 0.001666 Val_MSE: 0.002366 | Loss: 0.001665
2025-12-05 17:01:53,854 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [29/1000] Train_MSE: 0.001390 Val_MSE: 0.002184 | Loss: 0.001862
2025-12-05 17:01:53,856 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 29 with val_mse 0.002184
2025-12-05 17:01:53,959 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [30/1000] Train_MSE: 0.002021 Val_MSE: 0.002757 | Loss: 0.001914
2025-12-05 17:01:54,058 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [31/1000] Train_MSE: 0.003220 Val_MSE: 0.003787 | Loss: 0.002128
2025-12-05 17:01:54,159 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [32/1000] Train_MSE: 0.001332 Val_MSE: 0.001987 | Loss: 0.001684
2025-12-05 17:01:54,162 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 32 with val_mse 0.001987
2025-12-05 17:01:54,256 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [33/1000] Train_MSE: 0.003822 Val_MSE: 0.004260 | Loss: 0.001741
2025-12-05 17:01:54,357 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [34/1000] Train_MSE: 0.001362 Val_MSE: 0.002095 | Loss: 0.001993
2025-12-05 17:01:54,457 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [35/1000] Train_MSE: 0.001377 Val_MSE: 0.002205 | Loss: 0.001492
2025-12-05 17:01:54,556 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [36/1000] Train_MSE: 0.001886 Val_MSE: 0.002693 | Loss: 0.001596
2025-12-05 17:01:54,659 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [37/1000] Train_MSE: 0.003152 Val_MSE: 0.004113 | Loss: 0.001756
2025-12-05 17:01:54,757 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [38/1000] Train_MSE: 0.002108 Val_MSE: 0.003122 | Loss: 0.001778
2025-12-05 17:01:54,858 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [39/1000] Train_MSE: 0.001926 Val_MSE: 0.002802 | Loss: 0.001875
2025-12-05 17:01:54,954 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [40/1000] Train_MSE: 0.002632 Val_MSE: 0.003486 | Loss: 0.001978
2025-12-05 17:01:55,055 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [41/1000] Train_MSE: 0.002255 Val_MSE: 0.003194 | Loss: 0.001871
2025-12-05 17:01:55,155 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [42/1000] Train_MSE: 0.001592 Val_MSE: 0.002458 | Loss: 0.001871
2025-12-05 17:01:55,255 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [43/1000] Train_MSE: 0.003053 Val_MSE: 0.004045 | Loss: 0.001847
2025-12-05 17:01:55,361 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [44/1000] Train_MSE: 0.003970 Val_MSE: 0.005041 | Loss: 0.001902
2025-12-05 17:01:55,465 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [45/1000] Train_MSE: 0.002424 Val_MSE: 0.002946 | Loss: 0.001809
2025-12-05 17:01:55,564 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [46/1000] Train_MSE: 0.001266 Val_MSE: 0.002125 | Loss: 0.001614
2025-12-05 17:01:55,667 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [47/1000] Train_MSE: 0.001382 Val_MSE: 0.002357 | Loss: 0.001469
2025-12-05 17:01:55,767 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [48/1000] Train_MSE: 0.001297 Val_MSE: 0.002024 | Loss: 0.001578
2025-12-05 17:01:55,868 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [49/1000] Train_MSE: 0.002667 Val_MSE: 0.003252 | Loss: 0.001809
2025-12-05 17:01:55,968 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [50/1000] Train_MSE: 0.001256 Val_MSE: 0.001970 | Loss: 0.001758
2025-12-05 17:01:55,971 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 50 with val_mse 0.001970
2025-12-05 17:01:56,074 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [51/1000] Train_MSE: 0.001764 Val_MSE: 0.002800 | Loss: 0.001407
2025-12-05 17:01:56,179 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [52/1000] Train_MSE: 0.001209 Val_MSE: 0.002052 | Loss: 0.001361
2025-12-05 17:01:56,283 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [53/1000] Train_MSE: 0.001606 Val_MSE: 0.002327 | Loss: 0.001437
2025-12-05 17:01:56,389 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [54/1000] Train_MSE: 0.001246 Val_MSE: 0.001943 | Loss: 0.001604
2025-12-05 17:01:56,392 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 54 with val_mse 0.001943
2025-12-05 17:01:56,495 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [55/1000] Train_MSE: 0.001367 Val_MSE: 0.002161 | Loss: 0.001446
2025-12-05 17:01:56,598 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [56/1000] Train_MSE: 0.001287 Val_MSE: 0.001949 | Loss: 0.001374
2025-12-05 17:01:56,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [57/1000] Train_MSE: 0.004010 Val_MSE: 0.004942 | Loss: 0.001472
2025-12-05 17:01:56,797 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [58/1000] Train_MSE: 0.001526 Val_MSE: 0.002308 | Loss: 0.001470
2025-12-05 17:01:56,897 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [59/1000] Train_MSE: 0.001648 Val_MSE: 0.002305 | Loss: 0.001453
2025-12-05 17:01:56,999 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [60/1000] Train_MSE: 0.002238 Val_MSE: 0.003229 | Loss: 0.001604
2025-12-05 17:01:57,100 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [61/1000] Train_MSE: 0.001227 Val_MSE: 0.002224 | Loss: 0.001421
2025-12-05 17:01:57,201 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [62/1000] Train_MSE: 0.001218 Val_MSE: 0.001963 | Loss: 0.001350
2025-12-05 17:01:57,302 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [63/1000] Train_MSE: 0.001196 Val_MSE: 0.001963 | Loss: 0.001432
2025-12-05 17:01:57,404 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [64/1000] Train_MSE: 0.001164 Val_MSE: 0.001869 | Loss: 0.001283
2025-12-05 17:01:57,407 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 64 with val_mse 0.001869
2025-12-05 17:01:57,508 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [65/1000] Train_MSE: 0.001998 Val_MSE: 0.002852 | Loss: 0.001390
2025-12-05 17:01:57,620 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [66/1000] Train_MSE: 0.001896 Val_MSE: 0.002508 | Loss: 0.001390
2025-12-05 17:01:57,725 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [67/1000] Train_MSE: 0.002252 Val_MSE: 0.003055 | Loss: 0.001510
2025-12-05 17:01:57,823 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [68/1000] Train_MSE: 0.001952 Val_MSE: 0.002707 | Loss: 0.001381
2025-12-05 17:01:57,917 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [69/1000] Train_MSE: 0.002251 Val_MSE: 0.003106 | Loss: 0.001299
2025-12-05 17:01:58,011 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [70/1000] Train_MSE: 0.001328 Val_MSE: 0.002108 | Loss: 0.001385
2025-12-05 17:01:58,105 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [71/1000] Train_MSE: 0.001386 Val_MSE: 0.002423 | Loss: 0.001238
2025-12-05 17:01:58,200 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [72/1000] Train_MSE: 0.002532 Val_MSE: 0.003556 | Loss: 0.001562
2025-12-05 17:01:58,302 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [73/1000] Train_MSE: 0.001536 Val_MSE: 0.002295 | Loss: 0.001805
2025-12-05 17:01:58,405 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [74/1000] Train_MSE: 0.001453 Val_MSE: 0.002342 | Loss: 0.001386
2025-12-05 17:01:58,508 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [75/1000] Train_MSE: 0.001174 Val_MSE: 0.002077 | Loss: 0.001495
2025-12-05 17:01:58,608 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [76/1000] Train_MSE: 0.001154 Val_MSE: 0.001926 | Loss: 0.001321
2025-12-05 17:01:58,711 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [77/1000] Train_MSE: 0.001381 Val_MSE: 0.002481 | Loss: 0.001393
2025-12-05 17:01:58,812 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [78/1000] Train_MSE: 0.001355 Val_MSE: 0.002115 | Loss: 0.001406
2025-12-05 17:01:58,911 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [79/1000] Train_MSE: 0.001303 Val_MSE: 0.002042 | Loss: 0.001218
2025-12-05 17:01:59,011 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [80/1000] Train_MSE: 0.001088 Val_MSE: 0.002148 | Loss: 0.001371
2025-12-05 17:01:59,109 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [81/1000] Train_MSE: 0.001356 Val_MSE: 0.002227 | Loss: 0.001245
2025-12-05 17:01:59,208 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [82/1000] Train_MSE: 0.001752 Val_MSE: 0.002823 | Loss: 0.001279
2025-12-05 17:01:59,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [83/1000] Train_MSE: 0.002732 Val_MSE: 0.003801 | Loss: 0.001332
2025-12-05 17:01:59,406 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [84/1000] Train_MSE: 0.001117 Val_MSE: 0.001909 | Loss: 0.001386
2025-12-05 17:01:59,504 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [85/1000] Train_MSE: 0.001123 Val_MSE: 0.002077 | Loss: 0.001254
2025-12-05 17:01:59,604 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [86/1000] Train_MSE: 0.001144 Val_MSE: 0.001921 | Loss: 0.001254
2025-12-05 17:01:59,705 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [87/1000] Train_MSE: 0.001649 Val_MSE: 0.002570 | Loss: 0.001438
2025-12-05 17:01:59,804 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [88/1000] Train_MSE: 0.001273 Val_MSE: 0.001946 | Loss: 0.001265
2025-12-05 17:01:59,902 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [89/1000] Train_MSE: 0.001006 Val_MSE: 0.001907 | Loss: 0.001412
2025-12-05 17:02:00,001 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [90/1000] Train_MSE: 0.001726 Val_MSE: 0.002597 | Loss: 0.001267
2025-12-05 17:02:00,102 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [91/1000] Train_MSE: 0.001432 Val_MSE: 0.002096 | Loss: 0.001612
2025-12-05 17:02:00,203 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [92/1000] Train_MSE: 0.001793 Val_MSE: 0.003054 | Loss: 0.001429
2025-12-05 17:02:00,300 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [93/1000] Train_MSE: 0.002085 Val_MSE: 0.003016 | Loss: 0.001502
2025-12-05 17:02:00,406 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [94/1000] Train_MSE: 0.001650 Val_MSE: 0.002622 | Loss: 0.001441
2025-12-05 17:02:00,508 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [95/1000] Train_MSE: 0.001332 Val_MSE: 0.002500 | Loss: 0.001286
2025-12-05 17:02:00,613 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [96/1000] Train_MSE: 0.001130 Val_MSE: 0.001856 | Loss: 0.001260
2025-12-05 17:02:00,616 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 96 with val_mse 0.001856
2025-12-05 17:02:00,723 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [97/1000] Train_MSE: 0.001125 Val_MSE: 0.001974 | Loss: 0.001193
2025-12-05 17:02:00,838 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [98/1000] Train_MSE: 0.001230 Val_MSE: 0.001971 | Loss: 0.001259
2025-12-05 17:02:00,934 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [99/1000] Train_MSE: 0.001200 Val_MSE: 0.002436 | Loss: 0.001277
2025-12-05 17:02:01,038 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [100/1000] Train_MSE: 0.001109 Val_MSE: 0.002272 | Loss: 0.001239
2025-12-05 17:02:01,131 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [101/1000] Train_MSE: 0.002051 Val_MSE: 0.002328 | Loss: 0.001197
