2025-12-05 16:55:59,982 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Rg
2025-12-05 16:55:59,982 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:55:59,983 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Rg with seed 42 ---
2025-12-05 16:56:01,725 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [8/1000] Train_MSE: 17.225506 Val_MSE: 19.999216 | Loss: 16.718515
2025-12-05 16:56:01,808 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [9/1000] Train_MSE: 15.323932 Val_MSE: 17.960767 | Loss: 17.121394
2025-12-05 16:56:01,810 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 9 with val_mse 17.960767
2025-12-05 16:56:01,891 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [10/1000] Train_MSE: 15.666958 Val_MSE: 18.431959 | Loss: 16.407089
2025-12-05 16:56:01,975 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [11/1000] Train_MSE: 14.850727 Val_MSE: 17.460191 | Loss: 15.980656
2025-12-05 16:56:01,977 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 11 with val_mse 17.460191
2025-12-05 16:56:02,064 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [12/1000] Train_MSE: 15.754425 Val_MSE: 18.417065 | Loss: 16.769700
2025-12-05 16:56:02,155 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [13/1000] Train_MSE: 17.419373 Val_MSE: 20.258146 | Loss: 17.296422
2025-12-05 16:56:02,256 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [14/1000] Train_MSE: 14.626082 Val_MSE: 17.423659 | Loss: 15.838085
2025-12-05 16:56:02,259 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 14 with val_mse 17.423659
2025-12-05 16:56:02,343 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [15/1000] Train_MSE: 14.838978 Val_MSE: 17.657282 | Loss: 15.697844
2025-12-05 16:56:02,444 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [16/1000] Train_MSE: 14.848391 Val_MSE: 17.693370 | Loss: 15.142080
2025-12-05 16:56:02,535 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [17/1000] Train_MSE: 14.590845 Val_MSE: 17.221504 | Loss: 15.992197
2025-12-05 16:56:02,538 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 17 with val_mse 17.221504
2025-12-05 16:56:02,623 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [18/1000] Train_MSE: 14.510792 Val_MSE: 17.149978 | Loss: 14.758111
2025-12-05 16:56:02,625 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 18 with val_mse 17.149978
2025-12-05 16:56:02,732 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [19/1000] Train_MSE: 17.110092 Val_MSE: 20.135291 | Loss: 15.887428
2025-12-05 16:56:02,827 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [20/1000] Train_MSE: 14.376962 Val_MSE: 17.561888 | Loss: 14.705099
2025-12-05 16:56:02,929 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [21/1000] Train_MSE: 15.179708 Val_MSE: 18.206718 | Loss: 16.124252
2025-12-05 16:56:03,014 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [22/1000] Train_MSE: 15.594229 Val_MSE: 18.603805 | Loss: 15.889466
2025-12-05 16:56:03,101 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [23/1000] Train_MSE: 15.238519 Val_MSE: 18.186449 | Loss: 15.109743
2025-12-05 16:56:03,190 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [24/1000] Train_MSE: 19.357443 Val_MSE: 22.013762 | Loss: 15.012840
2025-12-05 16:56:03,277 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [25/1000] Train_MSE: 14.704128 Val_MSE: 17.624673 | Loss: 15.884470
2025-12-05 16:56:03,359 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [26/1000] Train_MSE: 14.828160 Val_MSE: 17.909109 | Loss: 15.290617
2025-12-05 16:56:03,448 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [27/1000] Train_MSE: 15.824705 Val_MSE: 18.867964 | Loss: 14.857079
2025-12-05 16:56:03,530 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [28/1000] Train_MSE: 17.313877 Val_MSE: 20.110800 | Loss: 14.082320
2025-12-05 16:56:03,611 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [29/1000] Train_MSE: 14.219492 Val_MSE: 17.216928 | Loss: 15.001229
2025-12-05 16:56:03,687 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [30/1000] Train_MSE: 14.672415 Val_MSE: 17.829850 | Loss: 15.301233
2025-12-05 16:56:03,763 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [31/1000] Train_MSE: 14.126482 Val_MSE: 16.957854 | Loss: 14.942995
2025-12-05 16:56:03,766 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 31 with val_mse 16.957854
2025-12-05 16:56:03,843 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [32/1000] Train_MSE: 14.001636 Val_MSE: 16.846055 | Loss: 14.025156
2025-12-05 16:56:03,845 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 32 with val_mse 16.846055
2025-12-05 16:56:03,930 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [33/1000] Train_MSE: 13.676545 Val_MSE: 16.572873 | Loss: 15.526336
2025-12-05 16:56:03,932 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 33 with val_mse 16.572873
2025-12-05 16:56:04,019 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [34/1000] Train_MSE: 13.504692 Val_MSE: 16.519375 | Loss: 14.335751
2025-12-05 16:56:04,022 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 34 with val_mse 16.519375
2025-12-05 16:56:04,106 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [35/1000] Train_MSE: 13.490574 Val_MSE: 16.600626 | Loss: 14.701131
2025-12-05 16:56:04,188 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [36/1000] Train_MSE: 18.781848 Val_MSE: 21.664534 | Loss: 14.780095
2025-12-05 16:56:04,271 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [37/1000] Train_MSE: 13.360233 Val_MSE: 16.709242 | Loss: 14.099704
2025-12-05 16:56:04,354 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [38/1000] Train_MSE: 13.864499 Val_MSE: 17.129757 | Loss: 14.142766
2025-12-05 16:56:04,437 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [39/1000] Train_MSE: 14.481185 Val_MSE: 17.532294 | Loss: 14.189875
2025-12-05 16:56:04,520 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [40/1000] Train_MSE: 13.375879 Val_MSE: 16.460538 | Loss: 14.923378
2025-12-05 16:56:04,522 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 40 with val_mse 16.460538
2025-12-05 16:56:04,608 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [41/1000] Train_MSE: 12.837272 Val_MSE: 15.919059 | Loss: 15.077505
2025-12-05 16:56:04,611 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 41 with val_mse 15.919059
2025-12-05 16:56:04,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [42/1000] Train_MSE: 12.712825 Val_MSE: 15.887022 | Loss: 14.075478
2025-12-05 16:56:04,701 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 42 with val_mse 15.887022
2025-12-05 16:56:04,788 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [43/1000] Train_MSE: 12.781170 Val_MSE: 15.805347 | Loss: 13.145817
2025-12-05 16:56:04,791 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 43 with val_mse 15.805347
2025-12-05 16:56:04,877 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [44/1000] Train_MSE: 12.798925 Val_MSE: 15.768923 | Loss: 13.106908
2025-12-05 16:56:04,880 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 44 with val_mse 15.768923
2025-12-05 16:56:04,971 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [45/1000] Train_MSE: 12.421563 Val_MSE: 15.499578 | Loss: 13.479493
2025-12-05 16:56:04,973 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 45 with val_mse 15.499578
2025-12-05 16:56:05,059 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [46/1000] Train_MSE: 12.621933 Val_MSE: 15.559005 | Loss: 13.824460
2025-12-05 16:56:05,151 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [47/1000] Train_MSE: 12.259514 Val_MSE: 15.190927 | Loss: 13.318936
2025-12-05 16:56:05,154 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 47 with val_mse 15.190927
2025-12-05 16:56:05,243 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [48/1000] Train_MSE: 12.362185 Val_MSE: 15.743369 | Loss: 13.520241
2025-12-05 16:56:05,331 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [49/1000] Train_MSE: 12.175748 Val_MSE: 15.288341 | Loss: 12.712951
2025-12-05 16:56:05,422 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [50/1000] Train_MSE: 12.679663 Val_MSE: 15.972008 | Loss: 14.510455
2025-12-05 16:56:05,509 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [51/1000] Train_MSE: 11.886504 Val_MSE: 15.045016 | Loss: 12.828433
2025-12-05 16:56:05,512 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 51 with val_mse 15.045016
2025-12-05 16:56:05,597 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [52/1000] Train_MSE: 11.756392 Val_MSE: 14.680777 | Loss: 14.015257
2025-12-05 16:56:05,599 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 52 with val_mse 14.680777
2025-12-05 16:56:05,692 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [53/1000] Train_MSE: 12.188347 Val_MSE: 15.165397 | Loss: 13.204493
2025-12-05 16:56:05,783 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [54/1000] Train_MSE: 12.074849 Val_MSE: 15.046512 | Loss: 12.988581
2025-12-05 16:56:05,874 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [55/1000] Train_MSE: 12.019796 Val_MSE: 15.096973 | Loss: 13.069079
2025-12-05 16:56:05,959 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [56/1000] Train_MSE: 12.524289 Val_MSE: 15.723944 | Loss: 13.271178
2025-12-05 16:56:06,051 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [57/1000] Train_MSE: 11.634399 Val_MSE: 14.734605 | Loss: 12.783709
2025-12-05 16:56:06,145 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [58/1000] Train_MSE: 12.387168 Val_MSE: 15.368861 | Loss: 13.193485
2025-12-05 16:56:06,240 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [59/1000] Train_MSE: 11.518628 Val_MSE: 14.661849 | Loss: 12.802882
2025-12-05 16:56:06,242 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 59 with val_mse 14.661849
2025-12-05 16:56:06,328 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [60/1000] Train_MSE: 12.310146 Val_MSE: 15.238645 | Loss: 12.820983
2025-12-05 16:56:06,414 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [61/1000] Train_MSE: 11.333379 Val_MSE: 14.433900 | Loss: 12.567370
2025-12-05 16:56:06,416 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 61 with val_mse 14.433900
2025-12-05 16:56:06,508 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [62/1000] Train_MSE: 12.556970 Val_MSE: 15.508308 | Loss: 12.091226
2025-12-05 16:56:06,598 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [63/1000] Train_MSE: 11.788930 Val_MSE: 14.742457 | Loss: 12.118594
2025-12-05 16:56:06,695 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [64/1000] Train_MSE: 11.203666 Val_MSE: 14.408882 | Loss: 12.883620
2025-12-05 16:56:06,698 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 64 with val_mse 14.408882
2025-12-05 16:56:06,783 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [65/1000] Train_MSE: 11.673270 Val_MSE: 14.528448 | Loss: 11.570710
2025-12-05 16:56:06,872 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [66/1000] Train_MSE: 11.191200 Val_MSE: 14.198738 | Loss: 11.816775
2025-12-05 16:56:06,875 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 66 with val_mse 14.198738
2025-12-05 16:56:06,977 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [67/1000] Train_MSE: 11.964741 Val_MSE: 14.908901 | Loss: 12.111331
2025-12-05 16:56:07,059 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [68/1000] Train_MSE: 11.056125 Val_MSE: 14.104929 | Loss: 12.065411
2025-12-05 16:56:07,062 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 68 with val_mse 14.104929
2025-12-05 16:56:07,146 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [69/1000] Train_MSE: 11.869696 Val_MSE: 14.604109 | Loss: 11.719479
2025-12-05 16:56:07,234 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [70/1000] Train_MSE: 10.840437 Val_MSE: 13.861915 | Loss: 12.205490
2025-12-05 16:56:07,237 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 70 with val_mse 13.861915
2025-12-05 16:56:07,329 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [71/1000] Train_MSE: 11.047999 Val_MSE: 14.093019 | Loss: 13.681425
2025-12-05 16:56:07,410 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [72/1000] Train_MSE: 10.943987 Val_MSE: 14.166798 | Loss: 12.836017
2025-12-05 16:56:07,497 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [73/1000] Train_MSE: 10.887016 Val_MSE: 14.125169 | Loss: 12.559128
2025-12-05 16:56:07,580 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [74/1000] Train_MSE: 10.973679 Val_MSE: 14.099359 | Loss: 12.840375
2025-12-05 16:56:07,662 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [75/1000] Train_MSE: 14.448143 Val_MSE: 17.300312 | Loss: 12.351624
2025-12-05 16:56:07,743 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [76/1000] Train_MSE: 11.712286 Val_MSE: 14.910157 | Loss: 12.423789
2025-12-05 16:56:07,837 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [77/1000] Train_MSE: 12.805810 Val_MSE: 15.664687 | Loss: 11.363164
2025-12-05 16:56:07,923 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [78/1000] Train_MSE: 12.104918 Val_MSE: 14.852926 | Loss: 12.031963
2025-12-05 16:56:08,007 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [79/1000] Train_MSE: 10.728578 Val_MSE: 13.817231 | Loss: 12.671472
2025-12-05 16:56:08,010 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 79 with val_mse 13.817231
2025-12-05 16:56:08,098 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [80/1000] Train_MSE: 12.319092 Val_MSE: 15.331627 | Loss: 11.327829
2025-12-05 16:56:08,181 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [81/1000] Train_MSE: 10.595632 Val_MSE: 13.757349 | Loss: 12.203840
2025-12-05 16:56:08,184 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 81 with val_mse 13.757349
2025-12-05 16:56:08,267 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [82/1000] Train_MSE: 13.146543 Val_MSE: 16.495883 | Loss: 12.429324
2025-12-05 16:56:08,362 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [83/1000] Train_MSE: 13.729294 Val_MSE: 17.137619 | Loss: 11.784760
2025-12-05 16:56:08,439 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [84/1000] Train_MSE: 10.440951 Val_MSE: 13.369917 | Loss: 11.175312
2025-12-05 16:56:08,442 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 84 with val_mse 13.369917
2025-12-05 16:56:08,525 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [85/1000] Train_MSE: 10.524822 Val_MSE: 13.292077 | Loss: 12.064664
2025-12-05 16:56:08,528 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 85 with val_mse 13.292077
2025-12-05 16:56:08,614 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [86/1000] Train_MSE: 14.152962 Val_MSE: 17.121746 | Loss: 11.875524
2025-12-05 16:56:08,700 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [87/1000] Train_MSE: 11.612443 Val_MSE: 14.635600 | Loss: 11.775283
